Població a 1 de gener. Per sexe i grups d'edat. Total. Comarques, àmbits i províncies
2009
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=200900&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Tarragona;67935;39611;144416;96228;55268;403458
Població a 1 de gener. Per sexe i grups d'edat. Dones. Comarques, àmbits i províncies
2009
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=200900&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;3615;2089;6818;5194;4082;21798
Alt Empordà;10804;6522;21477;16143;12006;66952
Alt Penedès;8950;4507;17224;11930;8808;51419
Alt Urgell;1416;973;3374;2641;2233;10637
Alta Ribagorça;266;187;657;485;410;2005
Anoia;10189;5292;18630;13430;10001;57542
Bages;14178;8011;28124;22230;19340;91883
Baix Camp;16386;9231;30531;22158;15005;93311
Baix Ebre;5941;3796;11779;9657;8525;39698
Baix Empordà;10316;6074;20442;16051;11701;64584
Baix Llobregat;66330;35353;135131;96179;61088;394081
Baix Penedès;8379;4418;15940;11573;7288;47598
Barcelonès;146047;96912;367726;292250;260106;1163041
Berguedà;2647;1785;5572;5386;5352;20742
Cerdanya;1337;781;3020;2091;1498;8727
Conca de Barberà;1518;945;3021;2435;2414;10333
Garraf;11888;6110;24212;17558;11090;70858
Garrigues;1229;854;2513;2454;2663;9713
Garrotxa;3983;2376;7908;6681;6308;27256
Gironès;15644;8987;30181;20011;13851;88674
Maresme;34890;19097;69302;53829;35727;212845
Montsià;5311;3565;11016;7897;6981;34770
Noguera;2788;1845;5551;4511;4552;19247
Osona;12680;6963;23291;18232;14339;75505
Pallars Jussà;872;539;1793;1633;1914;6751
Pallars Sobirà;530;313;1151;846;719;3559
Pla d'Urgell;2874;1667;5611;3981;3670;17803
Pla de l'Estany;2652;1376;4650;3505;2764;14947
Priorat;607;390;1260;1186;1307;4750
Ribera d'Ebre;1592;1042;3050;3032;2866;11582
Ripollès;1559;1055;3535;3648;3511;13308
Segarra;1814;1057;3443;2338;2190;10842
Segrià;15802;9692;32038;23457;18698;99687
Selva;13255;7732;27093;19307;12730;80117
Solsonès;1114;610;2014;1581;1384;6703
Tarragonès;20119;11959;41481;28555;18314;120428
Terra Alta;725;525;1568;1548;1804;6170
Urgell;2894;1712;5337;4152;3901;17996
Val d'Aran;735;488;1814;1167;603;4807
Vallès Occidental;76833;40871;148515;104381;68287;438887
Vallès Oriental;34342;17748;66336;46077;28935;193438
Catalunya;575051;335449;1214129;911400;698965;3734994
Metropolità;379280;220598;828446;622204;474041;2524569
Comarques Gironines;58213;34122;115286;85346;62871;355838
Camp de Tarragona;50624;29032;99051;71101;48410;298218
Terres de l'Ebre;13569;8928;27413;22134;20176;92220
Ponent;27401;16827;54493;40893;35674;175288
Comarques Centrals;40808;22661;77631;60859;50416;252375
Alt Pirineu i Aran;5156;3281;11809;8863;7377;36486
Barcelona;418997;242642;904059;681461;523006;2770165
Girona;59289;34778;117716;87000;64041;362824
Lleida;32572;20069;65890;49704;43335;211570
Tarragona;64193;37960;126464;93235;68583;390435

