Població a 1 de gener. Per sexe i grups d'edat. Total. Comarques, àmbits i províncies
2009
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=200900&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;7413;4339;14675;10805;7384;44616
Alt Empordà;22312;13265;45814;33151;21938;136480
Alt Penedès;18418;9208;36367;24309;15710;104012
Alt Urgell;2967;1980;6949;5578;4112;21586
Alta Ribagorça;558;410;1516;1065;757;4306
Anoia;21031;10812;39873;27253;17651;116620
Bages;29351;16259;60084;44836;33046;183576
Baix Camp;33319;18686;64148;44612;26635;187400
Baix Ebre;12446;7981;26663;19579;15401;82070
Baix Empordà;21263;12473;43440;32557;21110;130843
Baix Llobregat;136843;72387;278922;189998;108228;786378
Baix Penedès;17136;8783;33880;23607;13752;97158
Barcelonès;300774;196750;755440;553156;433478;2239598
Berguedà;5557;3648;11984;11182;9250;41621
Cerdanya;2855;1623;6503;4609;2757;18347
Conca de Barberà;3188;1941;6675;5085;4335;21224
Garraf;24328;12363;49625;35355;19701;141372
Garrigues;2592;1844;5743;5145;4920;20244
Garrotxa;8265;4991;16782;13960;10973;54971
Gironès;32183;18429;63981;39780;23852;178225
Maresme;72513;39605;143191;106709;62227;424245
Montsià;10879;7267;23877;16194;12828;71045
Noguera;5759;3711;12321;9466;8369;39626
Osona;26390;14203;49299;37103;24715;151710
Pallars Jussà;1737;1134;3875;3467;3467;13680
Pallars Sobirà;1056;637;2508;1958;1352;7511
Pla d'Urgell;5884;3515;12306;8319;6583;36607
Pla de l'Estany;5451;2907;9579;7139;4912;29988
Priorat;1261;807;2875;2562;2416;9921
Ribera d'Ebre;3162;2243;6633;6268;5249;23555
Ripollès;3335;2233;7608;7440;6141;26757
Segarra;3831;2176;7878;5015;3944;22844
Segrià;32329;19990;69310;47512;32470;201611
Selva;27574;16226;58799;39962;23140;165701
Solsonès;2282;1293;4386;3341;2550;13852
Tarragonès;41809;24334;88038;57475;32466;244122
Terra Alta;1515;1190;3416;3276;3390;12787
Urgell;5979;3444;11665;8665;6882;36635
Val d'Aran;1521;1036;3962;2479;1129;10127
Vallès Occidental;158421;83817;305930;206591;117995;872754
Vallès Oriental;70784;36804;139010;92854;51428;390880
Catalunya;1186271;686744;2535530;1799417;1208643;7416605
Metropolità;782081;450934;1708485;1208972;808767;4959239
Comarques Gironines;120383;70524;246003;173989;112066;722965
Camp de Tarragona;104126;58890;210291;144146;86988;604441
Terres de l'Ebre;28002;18681;60589;45317;36868;189457
Ponent;56374;34680;119223;84122;63168;357567
Comarques Centrals;84611;46215;165626;123715;87212;507379
Alt Pirineu i Aran;10694;6820;25313;19156;13574;75557
Barcelona;864461;495836;1869689;1329300;893323;5452609
Girona;122686;71884;251305;177579;114167;737621
Lleida;66996;41453;143656;103075;77302;432482
Tarragona;132128;77571;270880;189463;123851;793893
Població a 1 de gener. Per sexe i grups d'edat. Homes. Comarques, àmbits i províncies
2009
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=200900&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;3798;2250;7857;5611;3302;22818
Alt Empordà;11508;6743;24337;17008;9932;69528
Alt Penedès;9468;4701;19143;12379;6902;52593
Alt Urgell;1551;1007;3575;2937;1879;10949
Alta Ribagorça;292;223;859;580;347;2301
Anoia;10842;5520;21243;13823;7650;59078
Bages;15173;8248;31960;22606;13706;91693
Baix Camp;16933;9455;33617;22454;11630;94089
Baix Ebre;6505;4185;14884;9922;6876;42372
Baix Empordà;10947;6399;22998;16506;9409;66259
Baix Llobregat;70513;37034;143791;93819;47140;392297
Baix Penedès;8757;4365;17940;12034;6464;49560
Barcelonès;154727;99838;387714;260906;173372;1076557
Berguedà;2910;1863;6412;5796;3898;20879
Cerdanya;1518;842;3483;2518;1259;9620
Conca de Barberà;1670;996;3654;2650;1921;10891
Garraf;12440;6253;25413;17797;8611;70514
Garrigues;1363;990;3230;2691;2257;10531
Garrotxa;4282;2615;8874;7279;4665;27715
Gironès;16539;9442;33800;19769;10001;89551
Maresme;37623;20508;73889;52880;26500;211400
Montsià;5568;3702;12861;8297;5847;36275
Noguera;2971;1866;6770;4955;3817;20379
Osona;13710;7240;26008;18871;10376;76205
Pallars Jussà;865;595;2082;1834;1553;6929
Pallars Sobirà;526;324;1357;1112;633;3952
Pla d'Urgell;3010;1848;6695;4338;2913;18804
Pla de l'Estany;2799;1531;4929;3634;2148;15041
Priorat;654;417;1615;1376;1109;5171
Ribera d'Ebre;1570;1201;3583;3236;2383;11973
Ripollès;1776;1178;4073;3792;2630;13449
Segarra;2017;1119;4435;2677;1754;12002
Segrià;16527;10298;37272;24055;13772;101924
Selva;14319;8494;31706;20655;10410;85584
Solsonès;1168;683;2372;1760;1166;7149
Tarragonès;21690;12375;46557;28920;14152;123694
Terra Alta;790;665;1848;1728;1586;6617
Urgell;3085;1732;6328;4513;2981;18639
Val d'Aran;786;548;2148;1312;526;5320
Vallès Occidental;81588;42946;157415;102210;49708;433867
Vallès Oriental;36442;19056;72674;46777;22493;197442
Catalunya;611220;351295;1321401;888017;509678;3681611
Metropolità;402801;230336;880039;586768;334726;2434670
Comarques Gironines;62170;36402;130717;88643;49195;367127
Camp de Tarragona;53502;29858;111240;73045;38578;306223
Terres de l'Ebre;14433;9753;33176;23183;16692;97237
Ponent;28973;17853;64730;43229;27494;182279
Comarques Centrals;43803;23554;87995;62856;36796;255004
Alt Pirineu i Aran;5538;3539;13504;10293;6197;39071
Barcelona;445464;253194;965630;647839;370317;2682444
Girona;63397;37106;133589;90579;50126;374797
Lleida;34424;21384;77766;53371;33967;220912
