Població a 1 de gener. Per sexe i grups d'edat. Total. Comarques, àmbits i províncies
1999
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=199900&tema=XIFPO
;0-15;15-29;30-44;45-64;65 i més;Total
Solsonès;1602;1351;3393;2550;2369;11265
Tarragonès;28692;24445;56375;39742;25386;174640
Terra Alta;1488;1255;2966;2958;3501;12168
Urgell;4412;3646;9008;6498;6865;30429
Val d'Aran;1330;924;2780;1508;1044;7586
Vallès Occidental;120526;100171;237661;159415;97874;715647
Vallès Oriental;51690;42870;104845;67697;39823;306925
Catalunya;921275;806570;1930672;1447712;1068318;6174547
Metropolità;629936;561787;1349642;1020753;712359;4274477
Comarques Gironines;85284;68672;167096;119925;95224;536201
Camp de Tarragona;69923;58993;136933;99035;70531;435415
Terres de l'Ebre;22166;19321;42990;35568;34412;154457
Ponent;43332;36937;88539;65237;60876;294921
Comarques Centrals;62148;54078;126025;93719;81325;417295
Alt Pirineu i Aran;8486;6782;19447;13475;13591;61781
Barcelona;690482;614514;1472274;1111922;791315;4680507
Girona;86819;69915;170577;122330;97114;546755
Lleida;51885;43827;107898;78857;74946;357413
Tarragona;92089;78314;179923;134603;104943;589872
Població a 1 de gener. Per sexe i grups d'edat. Homes. Comarques, àmbits i províncies
1999
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=199900&tema=XIFPO
;0-15;15-29;30-44;45-64;65 i més;Total
Alt Camp;2726;2293;5442;3893;3031;17385
Alt Empordà;7826;6045;14917;10983;7894;47665
Alt Penedès;5984;5150;12297;8640;6079;38150
Alt Urgell;1285;1103;2950;2188;1995;9521
Alta Ribagorça;238;191;628;378;384;1819
Anoia;7295;6592;14055;10277;6649;44868
Bages;11110;9881;23149;17132;13184;74456
Baix Camp;11960;10118;22693;16112;9997;70880
Baix Ebre;4921;4176;9226;7580;6239;32142
Baix Empordà;8053;6351;15889;11533;7588;49414
Baix Llobregat;55900;49298;115613;79441;35465;335717
Baix Penedès;4487;3624;8872;7014;3813;27810
Barcelonès;135745;129492;303336;243920;162811;975304
Berguedà;2434;2226;5396;4306;4107;18469
Cerdanya;1064;842;2298;1615;1113;6932
Conca de Barberà;1315;1142;2737;2063;1974;9231
Garraf;8306;6723;17082;11790;6503;50404
Garrigues;1272;1120;2615;2271;2373;9651
Garrotxa;3262;2718;7038;5361;4645;23024
Gironès;11381;9309;20926;14112;8962;64690
Maresme;28969;23297;55561;39350;20589;167766
Montsià;4099;3699;8147;6311;5260;27516
Noguera;2320;2106;5157;3814;3883;17280
Osona;10322;8299;20102;13687;9594;62004
Pallars Jussà;767;568;1794;1349;1664;6142
Pallars Sobirà;392;275;1023;678;722;3090
Pla d'Urgell;2124;1782;4509;3160;2923;14498
Pla de l'Estany;2119;1498;3826;2593;2024;12060
Priorat;521;503;1341;1085;1182;4632
Ribera d'Ebre;1570;1402;3047;2489;2393;10901
Ripollès;1594;1533;3729;3132;2722;12710
Segarra;1313;1058;2800;1894;1787;8852
Segrià;12887;10923;25749;18060;13070;80689
Selva;9365;7345;18423;12972;7856;55961
Solsonès;846;677;1764;1330;1113;5730
Tarragonès;14865;12587;28201;19873;10954;86480
Terra Alta;796;645;1579;1547;1613;6180
Urgell;2232;1891;4654;3239;3047;15063
Val d'Aran;684;470;1410;807;493;3864
Vallès Occidental;62043;51090;119347;79246;41238;352964
Vallès Oriental;26455;22046;52979;34380;17305;153165
Catalunya;472847;412088;972301;711605;446238;3015079
Metropolità;323402;287096;676215;496767;289990;2073470
Comarques Gironines;43600;34799;84748;60686;41691;265524
Camp de Tarragona;35874;30267;69286;50040;30951;216418
Terres de l'Ebre;11386;9922;21999;17927;15505;76739
Ponent;22148;18880;45484;32438;27083;146033
Comarques Centrals;32007;27675;64466;46732;34647;205527
Alt Pirineu i Aran;4430;3449;10103;7015;6371;31368
Barcelona;354563;314094;738917;542169;323524;2273267
Girona;44443;35438;86580;61971;42550;270982
Lleida;26581;22367;55519;39498;33708;177673
Tarragona;47260;40189;91285;67967;46456;293157
Població a 1 de gener. Per sexe i grups d'edat. Dones. Comarques, àmbits i províncies
1999
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=199900&tema=XIFPO
;0-15;15-29;30-44;45-64;65 i més;Total
Alt Camp;2540;2209;5059;3766;3824;17398
Alt Empordà;7417;5750;14550;10567;9799;48083
Alt Penedès;5779;4977;11793;8312;7704;38565
Alt Urgell;1240;1044;2789;2034;2310;9417
Alta Ribagorça;214;193;525;359;394;1685
Anoia;6912;6137;13383;10082;8652;45166
Bages;10480;9501;22208;17653;18092;77934
Baix Camp;11611;9784;22469;15870;12888;72622
Baix Ebre;4569;4053;8957;7628;7789;32996
Baix Empordà;7801;6087;15166;11108;9662;49824
Baix Llobregat;52731;47126;112649;78706;47527;338739
Baix Penedès;4358;3360;8366;6560;4492;27136
Barcelonès;129166;123954;306594;272851;250594;1083159
Berguedà;2295;2046;5103;4378;5423;19245
Cerdanya;896;770;2094;1452;1304;6516
Conca de Barberà;1217;1051;2480;1929;2506;9183
Garraf;7948;6428;16942;11671;8643;51632
Garrigues;1166;1026;2294;2136;2764;9386
Garrotxa;3225;2727;6608;5257;6204;24021
Gironès;11008;9355;21129;14285;12282;68059
Maresme;27192;22301;55269;38960;28747;172469
Montsià;4052;3466;7809;6190;6314;27831
Noguera;2328;2002;4689;3765;4456;17240
Osona;9698;8045;19236;13654;13255;63888
Pallars Jussà;694;593;1633;1318;1911;6149
Pallars Sobirà;366;279;933;596;750;2924
Pla d'Urgell;2096;1788;4118;3232;3535;14769
Pla de l'Estany;2037;1601;3707;2602;2465;12412
Priorat;496;464;1099;1001;1438;4498
Ribera d'Ebre;1467;1270;2838;2412;2916;10903
Ripollès;1488;1453;3526;3092;3517;13076
Segarra;1323;1023;2549;1831;2168;8894
Segrià;12091;10463;25051;18576;17052;83233
Selva;8708;6900;17662;12328;9604;55202
Solsonès;756;674;1629;1220;1256;5535
Tarragonès;13827;11858;28174;19869;14432;88160
Terra Alta;692;610;1387;1411;1888;5988
Urgell;2180;1755;4354;3259;3818;15366
Val d'Aran;646;454;1370;701;551;3722
Vallès Occidental;58483;49081;118314;80169;56636;362683
Vallès Oriental;25235;20824;51866;33317;22518;153760
Catalunya;448428;394482;958371;736107;622080;3159468
Metropolità;306534;274691;673427;523986;422369;2201007
Comarques Gironines;41684;33873;82348;59239;53533;270677
Camp de Tarragona;34049;28726;67647;48995;39580;218997
Terres de l'Ebre;10780;9399;20991;17641;18907;77718
Ponent;21184;18057;43055;32799;33793;148888
Comarques Centrals;30141;26403;61559;46987;46678;211768
Alt Pirineu i Aran;4056;3333;9344;6460;7220;30413
Barcelona;335919;300420;733357;569753;467791;2407240
Girona;42376;34477;83997;60359;54564;275773
Lleida;25304;21460;52379;39359;41238;179740
Tarragona;44829;38125;88638;66636;58487;296715

