Població a 1 de gener. Per sexe i grups d'edat. Total. Comarques, àmbits i províncies
1999
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=199900&tema=XIFPO
;0-15;15-29;30-44;45-64;65 i més;Total
Alt Camp;5266;4502;10501;7659;6855;34783
Alt Empordà;15243;11795;29467;21550;17693;95748
Alt Penedès;11763;10127;24090;16952;13783;76715
Alt Urgell;2525;2147;5739;4222;4305;18938
Alta Ribagorça;452;384;1153;737;778;3504
Anoia;14207;12729;27438;20359;15301;90034
Bages;21590;19382;45357;34785;31276;152390
Baix Camp;23571;19902;45162;31982;22885;143502
Baix Ebre;9490;8229;18183;15208;14028;65138
Baix Empordà;15854;12438;31055;22641;17250;99238
Baix Llobregat;108631;96424;228262;158147;82992;674456
Baix Penedès;8845;6984;17238;13574;8305;54946
Barcelonès;264911;253446;609930;516771;413405;2058463
Berguedà;4729;4272;10499;8684;9530;37714
Cerdanya;1960;1612;4392;3067;2417;13448
Conca de Barberà;2532;2193;5217;3992;4480;18414
Garraf;16254;13151;34024;23461;15146;102036
Garrigues;2438;2146;4909;4407;5137;19037
Garrotxa;6487;5445;13646;10618;10849;47045
Gironès;22389;18664;42055;28397;21244;132749
Maresme;56161;45598;110830;78310;49336;340235
Montsià;8151;7165;15956;12501;11574;55347
Noguera;4648;4108;9846;7579;8339;34520
Osona;20020;16344;39338;27341;22849;125892
Pallars Jussà;1461;1161;3427;2667;3575;12291
Pallars Sobirà;758;554;1956;1274;1472;6014
Pla d'Urgell;4220;3570;8627;6392;6458;29267
Pla de l'Estany;4156;3099;7533;5195;4489;24472
Priorat;1017;967;2440;2086;2620;9130
Ribera d'Ebre;3037;2672;5885;4901;5309;21804
Ripollès;3082;2986;7255;6224;6239;25786
Segarra;2636;2081;5349;3725;3955;17746
Segrià;24978;21386;50800;36636;30122;163922
Selva;18073;14245;36085;25300;17460;111163
