Densitat de població. Comarques, àmbits i províncies
2007
"Font: Idescat. Padró municipal d'habitants; Institut Cartogràfic de Catalunya."
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15227&t=200700
;Població;Superfície km²;Densitat (habitants/km²)
Alt Camp;42586;538;79,2
Alt Empordà;129158;1358;95,1
Alt Penedès;98856;593;166,8
Alt Urgell;21566;1447;14,9
Alta Ribagorça;4123;427;9,7
Anoia;111655;866;128,9
Bages;176846;1299;136,1
Baix Camp;180196;697;258,5
Baix Ebre;78590;1003;78,4
Baix Empordà;126450;702;180,2
Baix Llobregat;771516;486;1588,5
Baix Penedès;90891;296;306,8
Barcelonès;2212658;145;15289,2
Berguedà;40479;1185;34,2
Cerdanya;17744;547;32,5
Conca de Barberà;20714;650;31,9
Garraf;136328;185;735,8
Garrigues;19979;798;25,0
Garrotxa;53507;735;72,8
Gironès;169624;575;294,8
Maresme;414081;399;1038,0
Montsià;67834;735;92,2
Noguera;38596;1784;21,6
Osona;147138;1260;116,8
Pallars Jussà;13467;1343;10,0
Pallars Sobirà;7191;1378;5,2
Pla d'Urgell;34976;305;114,6
Pla de l'Estany;28893;263;109,9
Priorat;9785;499;19,6
Ribera d'Ebre;23319;827;28,2
Ripollès;26576;956;27,8
Segarra;21703;723;30,0
Segrià;190558;1397;136,4
Selva;157674;995;158,4
Solsonès;13401;1001;13,4
Tarragonès;231161;319;725,0
Terra Alta;12719;743;17,1
Urgell;35015;580;60,4
Val d'Aran;9815;634;15,5
Vallès Occidental;845942;583;1450,6
Vallès Oriental;377198;851;443,2
Catalunya;7210508;32107;224,6
Metropolità;4856579;3242;1498,2
Comarques Gironines;691882;5584;123,9
Camp de Tarragona;575333;2999;191,8
Terres de l'Ebre;182462;3309;55,1
Ponent;340827;5586;61,0
Comarques Centrals;489519;5612;87,2
Alt Pirineu i Aran;73906;5776;12,8
Barcelona;5332513;7726;690,2
Girona;706185;5905;119,6
Lleida;414015;12168;34,0
Tarragona;757795;6308;120,1

