Residus municipals. Generació. Total registrat i generació per càpita
Comarques i Aran. 2004
Unitats: Tones.
Font: Agència de Residus de Catalunya.
Nota: les dades es presenten segons la distribució territorial vigent en aquell moment: 40 comarques i l’entitat territorial singular Aran. (Aquesta distribució territorial està establerta en diverses lleis anteriors d’organització territorial comarcal i en la Llei 3/1990, de modificació de la divisió comarcal de Catalunya, a partir de la qual diversos municipis canvien de comarca). Durant aquest període, Aran canvia el seu règim jurídic i passa de ser una comarca a ser una entitat territorial singular, d’acord amb la Llei 1/2015, del règim especial d’Aran.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=resmc&n=6997&geo=com&t=200400
Codi;Nom;Total kg/hab./dia;Recollida no selectiva;Recollida selectiva;Total
01;Alt Camp;1,46;15964,07;4748,68;20712,77
02;Alt Empordà;2,74;93850,79;18784,23;112634,93
03;Alt Penedès;1,62;39596,58;13393,19;52989,71
04;Alt Urgell;1,29;5369,14;4186,60;9555,73
05;Alta Ribagorça;1,71;1996,04;368,66;2364,70
06;Anoia;1,50;48361,14;7244,29;55605,47
39;Aran;2,92;7479,34;1918,82;9398,16
07;Bages;1,48;71070,55;18418,84;89489,36
08;Baix Camp;1,73;76091,42;25362,00;101453,36
09;Baix Ebre;1,43;32683,10;4869,85;37552,92
10;Baix Empordà;2,71;95526,79;18891,16;114417,93
11;Baix Llobregat;1,41;290586,28;90629,77;381216,04
12;Baix Penedès;2,42;58621,79;6352,19;64973,96
13;Barcelonès;1,48;911962,48;274074,07;1186036,48
14;Berguedà;1,58;19072,68;3509,18;22581,87
15;Cerdanya;2,08;10729,49;1491,35;12220,83
16;Conca de Barberà;1,29;6694,26;2561,93;9256,10
17;Garraf;2,00;59556,00;29679,87;89235,84
18;Garrigues;1,15;7196,60;900,77;8097,37
19;Garrotxa;1,58;23382,24;5869,13;29251,42
20;Gironès;1,46;62856,84;19258,16;82114,96
21;Maresme;1,72;193760,07;48291,51;242051,54
22;Montsià;1,39;25234,38;6298,62;31532,98
23;Noguera;1,53;18767,00;1549,96;20316,94
24;Osona;1,29;42383,59;22779,16;65162,77
25;Pallars Jussà;1,32;4487,25;1646,49;6133,74
26;Pallars Sobirà;1,73;3110,00;1106,30;4216,30
27;Pla d'Urgell;1,29;13043,87;1888,40;14932,29
28;Pla de l'Estany;1,70;14793,06;2081,19;16874,23
29;Priorat;1,20;3587,62;573,14;4160,70
30;Ribera d'Ebre;1,32;7658,19;3263,09;10921,29
31;Ripollès;1,59;12852,00;2377,82;15229,82
32;Segarra;1,55;7315,06;4121,00;11436,06
33;Segrià;1,32;75899,39;8932,63;84832,01
34;Selva;2,21;93425,11;16947,86;110372,95
35;Solsonès;1,41;5169,90;1154,92;6324,68
36;Tarragonès;2,05;121338,45;30464,23;151802,69
37;Terra Alta;0,97;3704,46;720,48;4424,95
38;Urgell;1,28;11868,17;3574,58;15442,77
40;Vallès Occidental;1,49;339898,88;90724,35;430623,23
41;Vallès Oriental;1,44;143553,64;40507,29;184060,90
;Catalunya;1,66;3080497,50;1050161,51;4130659,01

