Residus municipals. Generació. Total registrat i generació per càpita
Comarques i Aran. 2008
Unitats: Tones.
Font: Agència de Residus de Catalunya.
Nota: les dades es presenten segons la distribució territorial vigent en aquell moment: 40 comarques i l’entitat territorial singular Aran. (Aquesta distribució territorial està establerta en diverses lleis anteriors d’organització territorial comarcal i en la Llei 3/1990, de modificació de la divisió comarcal de Catalunya, a partir de la qual diversos municipis canvien de comarca). Durant aquest període, Aran canvia el seu règim jurídic i passa de ser una comarca a ser una entitat territorial singular, d’acord amb la Llei 1/2015, del règim especial d’Aran.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=resmc&n=6997&geo=com&t=200800
Codi;Nom;Total kg/hab./dia;Recollida no selectiva;Recollida selectiva;Total
01;Alt Camp;1,40;13922,32;8596,84;22519,09
02;Alt Empordà;2,37;82605,14;34366,20;116971,28
03;Alt Penedès;1,60;38332,12;21097,58;59429,64
04;Alt Urgell;1,35;5874,70;4935,09;10809,81
05;Alta Ribagorça;1,59;1844,30;670,63;2514,92
06;Anoia;1,59;52683,15;13997,32;66680,48
39;Aran;2,59;6670,00;2965,54;9635,53
07;Bages;1,40;56682,21;35747,44;92429,57
08;Baix Camp;1,76;72725,90;47847,88;120573,76
09;Baix Ebre;1,44;31560,62;11243,63;42804,28
10;Baix Empordà;2,38;84862,42;28603,97;113466,34
11;Baix Llobregat;1,37;273896,31;117513,20;391409,48
12;Baix Penedès;2,23;62311,47;15526,62;77838,14
13;Barcelonès;1,44;824139,41;350741,61;1174881,00
14;Berguedà;1,44;16049,36;5717,58;21766,92
15;Cerdanya;1,96;10794,74;2527,36;13322,11
16;Conca de Barberà;1,59;6363,19;5912,21;12275,39
17;Garraf;1,86;59922,00;35541,35;95463,35
18;Garrigues;1,18;7322,43;1444,20;8766,69
19;Garrotxa;1,50;21607,39;8120,63;29728,03
20;Gironès;1,30;50464,01;32812,74;83276,67
21;Maresme;1,74;165865,98;101459,16;267325,08
22;Montsià;1,48;20924,32;17517,01;38441,33
23;Noguera;1,21;13381,23;4057,74;17438,89
24;Osona;1,33;35117,49;37511,76;72629,17
25;Pallars Jussà;1,23;4663,01;1478,96;6141,90
26;Pallars Sobirà;1,65;3167,12;1322,04;4489,17
27;Pla d'Urgell;1,25;13766,56;2677,70;16444,28
28;Pla de l'Estany;1,57;11185,53;5803,80;16989,33
29;Priorat;1,54;3089,87;2449,64;5539,51
30;Ribera d'Ebre;1,54;6272,01;7134,87;13406,87
31;Ripollès;1,97;12429,60;6838,91;19268,51
32;Segarra;1,34;6026,49;4893,55;10920,09
33;Segrià;1,24;68651,54;20356,01;89007,59
34;Selva;2,12;97589,33;29813,09;127402,46
35;Solsonès;1,46;5602,28;1701,57;7303,81
36;Tarragonès;1,89;125837,36;40834,45;166671,75
37;Terra Alta;1,11;3294,75;1907,28;5201,98
38;Urgell;1,35;13211,85;4615,97;17827,79
40;Vallès Occidental;1,36;286103,53;142293,84;428397,32
41;Vallès Oriental;1,35;127222,76;63758,96;190981,62
;Catalunya;1,59;2804035,70;1471136,11;4275171,81

