Residus municipals. Generació. Total registrat i generació per càpita
Comarques i Aran. 2006
Unitats: Tones.
Font: Agència de Residus de Catalunya.
Nota: les dades es presenten segons la distribució territorial vigent en aquell moment: 40 comarques i l’entitat territorial singular Aran. (Aquesta distribució territorial està establerta en diverses lleis anteriors d’organització territorial comarcal i en la Llei 3/1990, de modificació de la divisió comarcal de Catalunya, a partir de la qual diversos municipis canvien de comarca). Durant aquest període, Aran canvia el seu règim jurídic i passa de ser una comarca a ser una entitat territorial singular, d’acord amb la Llei 1/2015, del règim especial d’Aran.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=resmc&n=6997&geo=com&t=200600
Codi;Nom;Total kg/hab./dia;Recollida no selectiva;Recollida selectiva;Total
01;Alt Camp;1,47;14315,14;7772,63;22087,76
02;Alt Empordà;2,94;95090,93;37897,31;132988,49
03;Alt Penedès;1,62;40258,06;16867,25;57125,30
04;Alt Urgell;1,31;5068,45;5082,00;10150,44
05;Alta Ribagorça;1,67;2147,76;335,41;2483,17
06;Anoia;1,63;55028,01;9970,66;64998,67
39;Aran;2,89;7326,65;2735,99;10062,62
07;Bages;1,46;61547,23;30708,47;92255,69
08;Baix Camp;1,82;75672,64;39400,37;115072,99
09;Baix Ebre;1,52;35498,39;6805,87;42304,24
10;Baix Empordà;2,61;93098,40;25062,20;118160,48
11;Baix Llobregat;1,42;283169,27;114752,63;397921,84
12;Baix Penedès;2,27;59902,21;11224,11;71126,26
13;Barcelonès;1,40;836560,44;299391,17;1135951,65
14;Berguedà;1,44;16046,22;5024,97;21071,11
15;Cerdanya;2,13;10957,83;2421,19;13379,06
16;Conca de Barberà;1,38;6406,88;3837,70;10244,56
17;Garraf;1,94;62624,00;31803,57;94427,57
18;Garrigues;0,95;6032,45;933,90;6966,35
19;Garrotxa;1,61;23158,37;7830,95;30989,31
20;Gironès;1,43;54317,42;32296,58;86614,00
21;Maresme;1,77;178399,52;86085,98;264485,52
22;Montsià;1,40;24998,65;8426,29;33424,94
23;Noguera;1,31;16468,51;1943,37;18411,87
24;Osona;1,39;39676,90;34349,76;74026,68
25;Pallars Jussà;1,33;4564,05;1581,55;6145,65
26;Pallars Sobirà;1,57;2961,00;1078,18;4039,23
27;Pla d'Urgell;1,23;13186,42;2111,26;15297,70
28;Pla de l'Estany;1,62;12306,89;4528,00;16834,93
29;Priorat;1,29;2883,48;1741,29;4624,71
30;Ribera d'Ebre;1,43;6220,76;5776,40;11997,09
31;Ripollès;1,52;10554,33;4058,70;14613,06
32;Segarra;1,50;7950,73;3947,06;11897,73
33;Segrià;1,30;73423,66;15532,03;88955,66
34;Selva;2,11;95967,33;20652,08;116619,41
35;Solsonès;1,48;5674,36;1354,36;7028,67
36;Tarragonès;2,05;130139,72;36413,11;166552,79
37;Terra Alta;1,00;3278,79;1341,86;4620,60
38;Urgell;1,29;12845,83;3437,79;16283,50
40;Vallès Occidental;1,32;283842,68;118892,51;402735,10
41;Vallès Oriental;1,45;135723,05;61290,55;197013,46
;Catalunya;1,64;2905293,29;1364140,39;4269433,68

