Residus municipals. Generació. Total registrat i generació per càpita
Comarques i Aran. 2002
Unitats: Tones.
Font: Agència de Residus de Catalunya.
Nota: les dades es presenten segons la distribució territorial vigent en aquell moment: 40 comarques i l’entitat territorial singular Aran. (Aquesta distribució territorial està establerta en diverses lleis anteriors d’organització territorial comarcal i en la Llei 3/1990, de modificació de la divisió comarcal de Catalunya, a partir de la qual diversos municipis canvien de comarca). Durant aquest període, Aran canvia el seu règim jurídic i passa de ser una comarca a ser una entitat territorial singular, d’acord amb la Llei 1/2015, del règim especial d’Aran.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=resmc&n=6997&geo=com&t=200200
Codi;Nom;Total kg/hab./dia;Recollida no selectiva;Recollida selectiva;Total
01;Alt Camp;1,43;15034,42;3548,05;18582,45
02;Alt Empordà;2,95;95507,88;11543,38;107051,11
03;Alt Penedès;1,64;37251,01;11088,05;48339,08
04;Alt Urgell;1,47;6994,20;3263,94;10258,17
05;Alta Ribagorça;1,69;1906,88;233,50;2140,38
06;Anoia;1,81;55290,53;6579,23;61869,77
39;Aran;2,54;6676,00;441,91;7117,90
07;Bages;1,45;72496,51;9829,14;82325,57
08;Baix Camp;1,81;74941,67;21297,41;96239,00
09;Baix Ebre;1,43;31334,69;3319,49;34654,16
10;Baix Empordà;2,99;97659,77;14320,23;111979,82
11;Baix Llobregat;1,37;284203,78;62863,88;347067,68
12;Baix Penedès;2,41;51842,79;2096,73;53939,49
13;Barcelonès;1,30;818373,06;171526,87;989899,91
14;Berguedà;1,43;17405,03;2413,96;19818,97
15;Cerdanya;2,30;10102,29;1807,58;11909,83
16;Conca de Barberà;1,23;7294,51;1101,21;8395,68
17;Garraf;2,11;57749,00;25663,62;83412,59
18;Garrigues;1,17;7389,28;740,36;8129,68
19;Garrotxa;1,59;23816,49;3964,73;27781,21
20;Gironès;1,73;73344,35;13072,00;86416,28
21;Maresme;1,75;204520,18;22895,65;227415,72
22;Montsià;1,35;23468,67;4921,41;28390,08
23;Noguera;1,60;18967,98;1343,63;20311,44
24;Osona;1,33;45245,04;17694,91;62939,93
25;Pallars Jussà;1,33;4703,02;1167,03;5870,04
26;Pallars Sobirà;2,53;4590,01;1103,91;5693,96
27;Pla d'Urgell;1,30;12580,99;1487,70;14068,65
28;Pla de l'Estany;1,77;14070,29;1637,01;15707,31
29;Priorat;1,12;3435,79;333,07;3768,86
30;Ribera d'Ebre;1,13;8166,79;786,26;8953,05
31;Ripollès;1,60;13791,00;1259,08;15050,10
32;Segarra;1,50;6800,06;3318,18;10118,30
33;Segrià;1,32;71596,23;8362,24;79958,41
34;Selva;2,55;97551,06;11616,30;109167,37
35;Solsonès;1,48;5245,00;931,93;6176,90
36;Tarragonès;2,08;120072,61;17900,64;137973,24
37;Terra Alta;1,10;4519,74;398,29;4918,03
38;Urgell;1,20;11971,31;1587,87;13559,18
40;Vallès Occidental;1,46;329858,38;62448,37;392306,74
41;Vallès Oriental;1,45;137284,74;32267,11;169551,82
;Catalunya;1,61;2985052,91;735614,83;3720667,74

