Densitat de població. Comarques i Aran, àmbits i províncies
2021
"Font: Idescat. Padró municipal d'habitants; Institut Cartogràfic de Catalunya."
(..) Dada confidencial, amb baixa fiabilitat o no disponible.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15227&t=202100
;Població;Superfície km²;Densitat (habitants/km²)
Alt Camp;45045;538;83,7
Alt Empordà;143762;1358;105,9
Alt Penedès;110172;593;185,9
Alt Urgell;20453;1447;14,1
Alta Ribagorça;3945;427;9,2
Anoia;124112;866;143,3
Aran;10372;634;16,4
Bages;180962;1092;165,7
Baix Camp;195098;697;279,9
Baix Ebre;78721;1003;78,5
Baix Empordà;137268;702;195,6
Baix Llobregat;833312;486;1714,7
Baix Penedès;110439;296;372,5
Barcelonès;2280967;146;15649,9
Berguedà;40004;1185;33,8
Cerdanya;19230;547;35,2
Conca de Barberà;20104;650;30,9
Garraf;154264;185;833,4
Garrigues;19010;798;23,8
Garrotxa;59163;735;80,5
Gironès;196768;576;341,9
Lluçanès;..;..;..
Maresme;459625;399;1153,3
Moianès;14243;338;42,2
Montsià;68397;735;93,0
Noguera;39169;1784;22,0
Osona;164077;1245;131,8
Pallars Jussà;13170;1343;9,8
Pallars Sobirà;7101;1378;5,2
Pla d'Urgell;36769;305;120,5
Pla de l'Estany;32876;263;125,1
Priorat;9239;499;18,5
Ribera d'Ebre;21864;827;26,4
Ripollès;25449;957;26,6
Segarra;23412;723;32,4
Segrià;211609;1397;151,5
Selva;175702;995;176,6
Solsonès;13600;1001;13,6
Tarragonès;262001;319;820,4
Terra Alta;11401;743;15,3
Urgell;37276;580;64,3
Vallès Occidental;937422;583;1607,6
Vallès Oriental;415789;735;565,7
Catalunya;7763362;32108;241,8
Metropolità;4931245;2464;2001,0
Comarques Gironines;770988;5584;138,1
Camp de Tarragona;531487;2703;196,6
Terres de l'Ebre;180383;3308;54,5
Ponent;367245;5586;65,7
Comarques Centrals;414149;4941;83,8
Alt Pirineu i Aran;74271;5776;12,9
Penedès;493594;1746;282,8
Barcelona;5714730;7726;739,6
Girona;786596;5905;133,2
Lleida;439727;12168;36,1
Tarragona;822309;6308;130,4

