Residus municipals. Generació. Total registrat i generació per càpita
Comarques i Aran. 2019
Unitats: Tones.
Font: Agència de Residus de Catalunya.
Nota: les dades es presenten segons la distribució territorial vigent en aquell moment: 41 comarques i l’entitat territorial singular Aran. (Aquesta distribució territorial està establerta en diverses lleis anteriors d’organització territorial comarcal i en la Llei 4/2015, de creació de la comarca del Moianès, que modifica territorialment el Bages, Osona i el Vallès Oriental).
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=resmc&n=6997&geo=com&t=201900
Codi;Nom;Total kg/hab./dia;Recollida no selectiva;Recollida selectiva;Total
01;Alt Camp;1,34;12209,24;9423,27;21632,51
02;Alt Empordà;2,28;65460,92;52262,63;117723,55
03;Alt Penedès;1,51;32530,76;27267,12;59797,88
04;Alt Urgell;1,42;5069,32;5360,58;10429,90
05;Alta Ribagorça;1,59;1150,52;1049,23;2199,75
06;Anoia;1,40;35480,38;26012,00;61492,38
39;Aran;2,34;5282,16;3354,04;8636,20
07;Bages;1,33;42435,46;44160,26;86595,72
08;Baix Camp;1,55;62253,37;45898,50;108151,87
09;Baix Ebre;1,61;25361,86;20189,73;45551,59
10;Baix Empordà;2,23;59747,44;49797,59;109545,03
11;Baix Llobregat;1,28;227890,48;157654,21;385544,69
12;Baix Penedès;1,89;44480,71;27844,75;72325,47
13;Barcelonès;1,27;677131,56;379232,84;1056364,40
14;Berguedà;1,19;5329,44;11827,24;17156,68
15;Cerdanya;2,01;9871,38;3500,84;13372,22
16;Conca de Barberà;1,44;4975,40;5584,85;10560,25
17;Garraf;1,69;54686,00;38245,18;92931,18
18;Garrigues;1,06;4365,76;2950,89;7316,65
19;Garrotxa;1,36;13749,62;14877,03;28626,65
20;Gironès;1,21;42377,26;43242,67;85619,93
21;Maresme;1,53;131723,94;121381,66;253105,60
42;Moianès;1,56;2865,86;4870,04;7735,90
22;Montsià;1,41;16204,67;18473,96;34678,63
23;Noguera;1,16;9667,48;6692,36;16359,84
24;Osona;1,22;24675,13;46966,41;71641,54
25;Pallars Jussà;1,45;4010,02;2903,32;6913,34
26;Pallars Sobirà;2,08;2291,03;2961,19;5252,22
27;Pla d'Urgell;1,23;8796,40;7692,48;16488,88
28;Pla de l'Estany;1,35;8941,10;6948,10;15889,20
29;Priorat;1,26;1957,30;2283,60;4240,90
30;Ribera d'Ebre;1,23;4858,87;4971,18;9830,05
31;Ripollès;1,53;7174,24;6825,30;13999,54
32;Segarra;1,17;4111,15;5710,47;9821,62
33;Segrià;1,15;51048,77;37165,97;88214,74
34;Selva;1,83;63711,04;50668,94;114379,98
35;Solsonès;1,41;3691,41;3217,32;6908,73
36;Tarragonès;1,67;99515,03;57430,96;156945,99
37;Terra Alta;1,01;1754,14;2501,64;4255,78
38;Urgell;1,33;10073,60;7727,53;17801,13
40;Vallès Occidental;1,19;229305,13;171495,63;400800,76
41;Vallès Oriental;1,31;111475,51;84086,68;195562,19
;Catalunya;1,44;2229690,85;1816924,36;4046615,21

