Densitat de població. Comarques, àmbits i províncies
2010
"Font: Idescat. Padró municipal d'habitants; Institut Cartogràfic de Catalunya."
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15227&t=201000
;Població;Superfície km²;Densitat (habitants/km²)
Alt Camp;45326;538;84,2
Alt Empordà;140262;1358;103,3
Alt Penedès;104589;593;176,4
Alt Urgell;22005;1447;15,2
Alta Ribagorça;4278;427;10,0
Anoia;118057;866;136,3
Bages;185117;1299;142,5
Baix Camp;190440;697;273,2
Baix Ebre;82222;1003;82,0
Baix Empordà;133221;702;189,9
Baix Llobregat;798468;486;1644,0
Baix Penedès;99786;296;336,8
Barcelonès;2251029;145;15554,4
Berguedà;41683;1185;35,2
Cerdanya;18549;547;33,9
Conca de Barberà;21437;650;33,0
Garraf;144657;185;780,7
Garrigues;20413;798;25,6
Garrotxa;55439;735;75,4
Gironès;181153;575;314,8
Maresme;430997;399;1080,4
Montsià;72333;735;98,4
Noguera;40130;1784;22,5
Osona;153499;1260;121,8
Pallars Jussà;13978;1343;10,4
Pallars Sobirà;7646;1378;5,5
Pla d'Urgell;37371;305;122,5
Pla de l'Estany;30660;263;116,7
Priorat;10145;499;20,3
Ribera d'Ebre;24082;827;29,1
Ripollès;26580;956;27,8
Segarra;22940;723;31,7
Segrià;205724;1397;147,3
Selva;171037;995;171,9
Solsonès;13730;1001;13,7
Tarragonès;249718;319;783,2
Terra Alta;12931;743;17,4
Urgell;37322;580;64,4
Val d'Aran;10206;634;16,1
Vallès Occidental;886530;583;1520,2
Vallès Oriental;396691;851;466,2
Catalunya;7512381;32107;234,0
Metropolità;5012961;3242;1546,5
Comarques Gironines;738352;5584;132,2
Camp de Tarragona;616852;2999;205,7
Terres de l'Ebre;191568;3309;57,9
Ponent;363900;5586;65,1
Comarques Centrals;512086;5612;91,3
Alt Pirineu i Aran;76662;5776;13,3
Barcelona;5511147;7726;713,4
Girona;753046;5905;127,5
Lleida;439768;12168;36,1
Tarragona;808420;6308;128,2

