Densitat de població. Comarques, àmbits i províncies
2014
"Font: Idescat. Padró municipal d'habitants; Institut Cartogràfic de Catalunya."
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15227&t=201400
;Població;Superfície km²;Densitat (habitants/km²)
Alt Camp;44578;538;82,9
Alt Empordà;140214;1358;103,3
Alt Penedès;106262;593;179,3
Alt Urgell;20878;1448;14,4
Alta Ribagorça;3873;427;9,1
Anoia;117842;866;136,0
Bages;184403;1299;141,9
Baix Camp;190249;697;272,9
Baix Ebre;80637;1003;80,4
Baix Empordà;132886;702;189,4
Baix Llobregat;806249;486;1659,0
Baix Penedès;100262;297;338,2
Barcelonès;2227238;146;15281,2
Berguedà;40039;1185;33,8
Cerdanya;18063;547;33,0
Conca de Barberà;20723;650;31,9
Garraf;145886;185;788,1
Garrigues;19762;798;24,8
Garrotxa;56036;735;76,3
Gironès;185085;576;321,6
Maresme;437919;399;1098,8
Montsià;69613;735;94,7
Noguera;39376;1784;22,1
Osona;154897;1260;122,9
Pallars Jussà;13530;1343;10,1
Pallars Sobirà;7220;1378;5,2
Pla d'Urgell;37128;305;121,7
Pla de l'Estany;31554;263;120,1
Priorat;9550;499;19,2
Ribera d'Ebre;22925;827;27,7
Ripollès;25700;957;26,9
Segarra;22713;723;31,4
Segrià;209768;1397;150,2
Selva;170249;995;171,1
Solsonès;13497;1001;13,5
Tarragonès;250306;319;783,7
Terra Alta;12119;743;16,3
Urgell;36526;580;63,0
Val d'Aran;9993;634;15,8
Vallès Occidental;899532;583;1542,6
Vallès Oriental;403623;851;474,3
Catalunya;7518903;32108;234,2
Metropolità;4774561;2464;1937,4
Comarques Gironines;741724;5584;132,8
Camp de Tarragona;515406;2703;190,7
Terres de l'Ebre;185294;3309;56,0
Ponent;365273;5586;65,4
Comarques Centrals;392836;4746;82,8
Alt Pirineu i Aran;73557;5776;12,7
Penedès;470252;1941;242,3
Barcelona;5523784;7726;714,9
Girona;756156;5905;128,1
Lleida;438001;12168;36,0
Tarragona;800962;6308;127,0

