Residus municipals. Generació. Total registrat i generació per càpita
Comarques i Aran. 2009
Unitats: Tones.
Font: Agència de Residus de Catalunya.
Nota: les dades es presenten segons la distribució territorial vigent en aquell moment: 40 comarques i l’entitat territorial singular Aran. (Aquesta distribució territorial està establerta en diverses lleis anteriors d’organització territorial comarcal i en la Llei 3/1990, de modificació de la divisió comarcal de Catalunya, a partir de la qual diversos municipis canvien de comarca). Durant aquest període, Aran canvia el seu règim jurídic i passa de ser una comarca a ser una entitat territorial singular, d’acord amb la Llei 1/2015, del règim especial d’Aran.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=resmc&n=6997&geo=com&t=200900
Codi;Nom;Total kg/hab./dia;Recollida no selectiva;Recollida selectiva;Total
01;Alt Camp;1,32;13378,76;8224,43;21603,12
02;Alt Empordà;2,25;80613,47;33144,11;113757,55
03;Alt Penedès;1,52;36499,85;21559,99;58059,74
04;Alt Urgell;1,33;5717,12;4947,82;10664,90
05;Alta Ribagorça;1,53;1680,32;768,69;2449,01
06;Anoia;1,54;52899,11;13112,38;66011,48
39;Aran;2,39;6153,31;2832,00;8985,31
07;Bages;1,38;56222,68;36645,93;92868,50
08;Baix Camp;1,57;65347,04;42822,77;108169,80
09;Baix Ebre;1,45;27745,61;15516,87;43262,47
10;Baix Empordà;2,25;79022,03;30011,94;109033,92
11;Baix Llobregat;1,36;251539,75;141794,59;393334,28
12;Baix Penedès;2,18;61088,06;17721,99;78810,09
13;Barcelonès;1,38;759004,06;373741,84;1132746,07
14;Berguedà;1,37;15131,00;5778,42;20909,43
15;Cerdanya;1,98;10885,91;2567,91;13453,79
16;Conca de Barberà;1,51;6069,38;5796,98;11866,34
17;Garraf;1,75;58015,00;33520,32;91535,29
18;Garrigues;1,08;6259,18;1825,62;8084,76
19;Garrotxa;1,53;19958,81;10909,88;30868,68
20;Gironès;1,21;48567,92;31083,83;79651,78
21;Maresme;1,71;158111,89;107413,31;265525,18
22;Montsià;1,45;18820,10;19346,11;38166,21
23;Noguera;1,14;12186,53;4504,35;16690,84
24;Osona;1,27;32557,12;38130,85;70687,93
25;Pallars Jussà;1,33;4523,28;2192,27;6715,52
26;Pallars Sobirà;1,56;2871,90;1465,58;4337,46
27;Pla d'Urgell;1,12;8251,32;6873,64;15124,97
28;Pla de l'Estany;1,51;10302,52;6321,83;16624,34
29;Priorat;1,65;2916,76;3103,29;6020,02
30;Ribera d'Ebre;1,66;6263,85;8279,85;14543,64
31;Ripollès;1,88;11568,31;6848,82;18417,12
32;Segarra;1,13;4708,51;4745,08;9453,55
33;Segrià;1,17;66632,98;19967,57;86600,50
34;Selva;1,86;87948,84;26853,99;114802,81
35;Solsonès;1,28;4956,64;1490,81;6447,33
36;Tarragonès;1,78;115987,47;45311,70;161299,17
37;Terra Alta;1,02;2331,59;2474,40;4805,96
38;Urgell;1,28;13355,77;3758,07;17113,83
40;Vallès Occidental;1,33;276464,13;149037,50;425501,64
41;Vallès Oriental;1,33;120320,11;70805,64;191125,70
;Catalunya;1,54;2622877,93;1575716,51;4198594,44

