Residus municipals. Generació. Total registrat i generació per càpita
Comarques i Aran. 2010
Unitats: Tones.
Font: Agència de Residus de Catalunya.
Nota: les dades es presenten segons la distribució territorial vigent en aquell moment: 40 comarques i l’entitat territorial singular Aran. (Aquesta distribució territorial està establerta en diverses lleis anteriors d’organització territorial comarcal i en la Llei 3/1990, de modificació de la divisió comarcal de Catalunya, a partir de la qual diversos municipis canvien de comarca). Durant aquest període, Aran canvia el seu règim jurídic i passa de ser una comarca a ser una entitat territorial singular, d’acord amb la Llei 1/2015, del règim especial d’Aran.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=resmc&n=6997&geo=com&t=201000
Codi;Nom;Total kg/hab./dia;Recollida no selectiva;Recollida selectiva;Total
01;Alt Camp;1,31;13626,24;7967,19;21593,42
02;Alt Empordà;2,25;78626,92;36808,44;115435,33
03;Alt Penedès;1,51;35757,95;21957,18;57715,13
04;Alt Urgell;1,32;5643,26;4960,38;10603,66
05;Alta Ribagorça;1,44;1550,62;698,92;2249,54
06;Anoia;1,48;51282,84;12554,53;63837,39
39;Aran;2,52;6248,89;3153,12;9402,01
07;Bages;1,38;53289,99;39773,27;93063,20
08;Baix Camp;1,63;63775,64;49461,01;113236,61
09;Baix Ebre;1,53;25428,56;20596,72;46025,28
10;Baix Empordà;2,26;73003,81;36897,23;109901,12
11;Baix Llobregat;1,33;240674,84;148184,71;388859,55
12;Baix Penedès;2,04;57803,84;16597,88;74401,68
13;Barcelonès;1,35;699421,65;411321,98;1110743,74
14;Berguedà;1,38;14998,13;5979,99;20978,21
15;Cerdanya;1,99;10502,65;2995,68;13498,33
16;Conca de Barberà;1,44;5942,49;5301,27;11243,72
17;Garraf;1,77;56072,00;37149,11;93221,11
18;Garrigues;1,07;6166,55;1801,82;7968,36
19;Garrotxa;1,49;19470,61;10691,66;30162,26
20;Gironès;1,20;48147,19;31028,14;79175,32
21;Maresme;1,71;150659,30;118950,99;269610,26
22;Montsià;1,34;16794,74;18503,17;35297,90
23;Noguera;1,13;11990,25;4632,97;16623,13
24;Osona;1,24;31188,21;38270,77;69459,06
25;Pallars Jussà;1,29;4307,24;2252,91;6560,14
26;Pallars Sobirà;1,51;3010,26;1205,59;4215,89
27;Pla d'Urgell;1,07;8102,63;6435,86;14538,52
28;Pla de l'Estany;1,44;9710,84;6442,07;16152,92
29;Priorat;1,38;2571,02;2550,41;5121,44
30;Ribera d'Ebre;1,37;5575,29;6428,94;12004,19
31;Ripollès;1,74;10463,93;6437,17;16901,11
32;Segarra;1,20;4788,47;5252,79;10041,24
33;Segrià;1,14;65418,99;20061,54;85480,53
34;Selva;1,86;84663,20;31656,65;116319,86
35;Solsonès;1,35;4873,47;1901,55;6775,00
36;Tarragonès;1,69;106754,84;47478,80;154233,58
37;Terra Alta;0,95;2048,31;2446,00;4494,33
38;Urgell;1,26;12117,01;4998,72;17115,73
40;Vallès Occidental;1,30;265847,38;153346,39;419193,81
41;Vallès Oriental;1,37;122971,58;75944,77;198916,29
;Catalunya;1,53;2491291,54;1698666,57;4189958,11

