Població a 1 de gener. Per sexe i grups d'edat. Total. Comarques i Aran, àmbits i províncies
2024
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=202400&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;3517;2095;5353;6814;4970;22749
Alt Empordà;11485;7126;18460;21395;15622;74088
Alt Penedès;9081;5614;13437;17200;11689;57021
Alt Urgell;1348;873;2464;3266;2545;10496
Alta Ribagorça;246;178;484;612;413;1933
Anoia;9891;6518;15009;18781;13404;63603
Aran;656;468;1445;1649;930;5148
Bages;13842;8930;21842;27084;21581;93279
Baix Camp;16139;10296;25292;30552;21308;103587
Baix Ebre;5846;3597;9302;11705;10065;40515
Baix Empordà;10513;6533;16970;21671;16096;71783
Baix Llobregat;63522;43123;102670;132701;91101;433117
Baix Penedès;8867;5559;14028;17749;12906;59109
Barcelonès;149075;107528;345821;332484;288005;1222913
Berguedà;2684;1640;4626;5894;5717;20561
Cerdanya;1357;961;2555;2987;1952;9812
Conca de Barberà;1384;907;2212;2964;2518;9985
Garraf;11461;7908;19132;26205;17270;81976
Garrigues;1244;736;1954;2525;2647;9106
Garrotxa;4566;2775;7654;8666;7092;30753
Gironès;17312;10960;27794;28628;18817;103511
Lluçanès;392;226;639;819;765;2841
Maresme;34693;22882;55319;73799;53213;239906
Moianès;1023;690;1583;2243;1575;7114
Montsià;5050;3196;8161;10534;8339;35280
Noguera;2857;1700;4313;5450;4749;19069
Osona;12885;8121;19982;23219;17159;81366
Pallars Jussà;811;540;1397;1929;1831;6508
Pallars Sobirà;435;304;910;1081;789;3519
Pla d'Urgell;3029;1772;4344;5278;4015;18438
Pla de l'Estany;2763;1648;4134;4732;3571;16848
Priorat;541;347;940;1314;1303;4445
Ribera d'Ebre;1371;854;2351;3191;3045;10812
Ripollès;1630;990;2770;3805;3686;12881
Segarra;1803;1106;2680;3072;2166;10827
Segrià;16190;10358;25889;31684;23050;107171
Selva;13876;8796;22922;27434;18855;91883
Solsonès;1102;707;1776;2180;1819;7584
Tarragonès;21427;13589;35371;40692;27956;139035
Terra Alta;712;444;1150;1567;1777;5650
Urgell;3095;1826;4490;5366;4174;18951
Vallès Occidental;75473;50860;118599;146544;97745;489221
Vallès Oriental;31915;21954;50896;66287;43087;214139
Catalunya;577109;387235;1029120;1183752;891317;4068533
Metropolità;354971;246557;673755;752475;573595;2601353
Comarques Gironines;62145;38828;100704;116331;83739;401747
Camp de Tarragona;43008;27234;69168;82336;58055;279801
Terres de l'Ebre;12979;8091;20964;26997;23226;92257
Ponent;28218;17498;43670;53375;40801;183562
Comarques Centrals;32038;20338;50593;61488;48841;213298
Alt Pirineu i Aran;4853;3324;9255;11524;8460;37416
Penedès;38897;25365;61011;79226;54600;259099
Barcelona;415897;286006;769533;873236;662279;3006951
Girona;63303;39622;102839;118728;85269;409761
Lleida;33055;20723;52588;64706;49582;220654
Tarragona;64854;40884;104160;127082;94187;431167

