Densitat de població. Comarques, àmbits i províncies
2009
"Font: Idescat. Padró municipal d'habitants; Institut Cartogràfic de Catalunya."
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15227&t=200900
;Població;Superfície km²;Densitat (habitants/km²)
Alt Camp;45001;538;83,6
Alt Empordà;138501;1358;102,0
Alt Penedès;104353;593;176,0
Alt Urgell;22037;1447;15,2
Alta Ribagorça;4375;427;10,2
Anoia;117114;866;135,2
Bages;184642;1299;142,1
Baix Camp;189226;697;271,5
Baix Ebre;81724;1003;81,5
Baix Empordà;132973;702;189,5
Baix Llobregat;793655;486;1634,0
Baix Penedès;98861;296;333,7
Barcelonès;2251600;145;15558,3
Berguedà;41744;1185;35,2
Cerdanya;18656;547;34,1
Conca de Barberà;21502;650;33,1
Garraf;143066;185;772,2
Garrigues;20479;798;25,7
Garrotxa;55339;735;75,3
Gironès;179742;575;312,4
Maresme;426565;399;1069,3
Montsià;72189;735;98,2
Noguera;40213;1784;22,5
Osona;152411;1260;120,9
Pallars Jussà;13840;1343;10,3
Pallars Sobirà;7625;1378;5,5
Pla d'Urgell;37044;305;121,4
Pla de l'Estany;30153;263;114,7
Priorat;10024;499;20,1
Ribera d'Ebre;24004;827;29,0
Ripollès;26821;956;28,0
Segarra;22825;723;31,6
Segrià;203279;1397;145,5
Selva;169389;995;170,2
Solsonès;13759;1001;13,7
Tarragonès;247827;319;777,2
Terra Alta;12943;743;17,4
Urgell;36670;580;63,3
Val d'Aran;10295;634;16,2
Vallès Occidental;878893;583;1507,1
Vallès Oriental;394061;851;463,1
Catalunya;7475420;32107;232,8
Metropolità;4992193;3242;1540,1
Comarques Gironines;732918;5584;131,2
Camp de Tarragona;612441;2999;204,2
Terres de l'Ebre;190860;3309;57,7
Ponent;360510;5586;64,5
Comarques Centrals;509670;5612;90,8
Alt Pirineu i Aran;76828;5776;13,3
Barcelona;5487935;7726;710,4
Girona;747782;5905;126,6
Lleida;436402;12168;35,9
Tarragona;803301;6308;127,4

