Residus municipals. Generació. Total registrat i generació per càpita
Comarques i Aran. 2000
Unitats: Tones.
Font: Agència de Residus de Catalunya.
Nota: les dades es presenten segons la distribució territorial vigent en aquell moment: 40 comarques i l’entitat territorial singular Aran. (Aquesta distribució territorial està establerta en diverses lleis anteriors d’organització territorial comarcal i en la Llei 3/1990, de modificació de la divisió comarcal de Catalunya, a partir de la qual diversos municipis canvien de comarca). Durant aquest període, Aran canvia el seu règim jurídic i passa de ser una comarca a ser una entitat territorial singular, d’acord amb la Llei 1/2015, del règim especial d’Aran.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=resmc&n=6997&geo=com&t=200000
Codi;Nom;Total kg/hab./dia;Recollida no selectiva;Recollida selectiva;Total
01;Alt Camp;1,37;14507,00;2745,24;17252,24
02;Alt Empordà;2,76;86137,88;7673,03;93810,91
03;Alt Penedès;1,66;37494,96;6829,27;44324,21
04;Alt Urgell;1,29;6378,39;2554,94;8933,35
05;Alta Ribagorça;1,67;1927,00;231,34;2158,35
06;Anoia;1,55;43969,49;5220,27;49189,71
39;Aran;2,56;6373,69;299,84;6673,54
07;Bages;1,44;76568,21;3813,63;80381,85
08;Baix Camp;1,75;72239,80;17565,40;89805,20
09;Baix Ebre;1,47;33917,01;1503,37;35420,39
10;Baix Empordà;2,90;92246,79;9292,68;101539,47
11;Baix Llobregat;1,46;291684,83;50398,11;342082,92
12;Baix Penedès;3,36;57210,09;1118,09;58328,16
13;Barcelonès;1,30;883606,65;129485,90;1013092,55
14;Berguedà;1,27;15989,98;1939,88;17929,89
15;Cerdanya;2,17;9373,05;720,11;10093,19
16;Conca de Barberà;1,16;7056,55;713,50;7770,05
17;Garraf;2,13;53739,86;16553,09;70292,94
18;Garrigues;1,14;7518,57;510,82;8029,45
19;Garrotxa;1,52;22755,39;3096,33;25851,70
20;Gironès;1,46;59890,00;9086,84;68976,83
21;Maresme;1,97;196158,73;32776,58;228935,31
22;Montsià;1,33;24178,39;2452,93;26631,32
23;Noguera;1,30;15577,37;774,22;16351,63
24;Osona;1,37;52766,50;8483,20;61249,71
25;Pallars Jussà;1,60;6449,00;1020,58;7469,53
26;Pallars Sobirà;2,97;5680,02;613,32;6293,30
27;Pla d'Urgell;1,23;11856,16;1253,60;13109,74
28;Pla de l'Estany;1,63;13312,82;899,73;14212,55
29;Priorat;1,05;3261,93;268,47;3530,40
30;Ribera d'Ebre;1,03;7946,63;528,71;8475,33
31;Ripollès;1,44;12754,00;1118,79;13872,79
32;Segarra;1,48;8775,20;632,57;9407,79
33;Segrià;1,22;67014,45;5721,81;72736,24
34;Selva;2,51;87872,53;8023,92;95896,44
35;Solsonès;1,43;4850,78;998,90;5849,70
36;Tarragonès;2,03;112626,64;12804,81;125431,44
37;Terra Alta;1,02;4455,95;206,56;4662,52
38;Urgell;1,18;12170,21;838,68;13008,90
40;Vallès Occidental;1,50;325293,47;50371,51;375664,98
41;Vallès Oriental;1,57;136569,06;27091,12;163660,16
;Catalunya;1,56;2990155,02;485070,65;3475225,67

