Residus municipals. Generació. Total registrat i generació per càpita
Comarques i Aran. 2012
Unitats: Tones.
Font: Agència de Residus de Catalunya.
Nota: les dades es presenten segons la distribució territorial vigent en aquell moment: 40 comarques i l’entitat territorial singular Aran. (Aquesta distribució territorial està establerta en diverses lleis anteriors d’organització territorial comarcal i en la Llei 3/1990, de modificació de la divisió comarcal de Catalunya, a partir de la qual diversos municipis canvien de comarca). Durant aquest període, Aran canvia el seu règim jurídic i passa de ser una comarca a ser una entitat territorial singular, d’acord amb la Llei 1/2015, del règim especial d’Aran.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=resmc&n=6997&geo=com&t=201200
Codi;Nom;Total kg/hab./dia;Recollida no selectiva;Recollida selectiva;Total
01;Alt Camp;1,19;11377,70;8252,44;19630,14
02;Alt Empordà;2,22;73716,50;40846,17;114562,67
03;Alt Penedès;1,36;31559,28;21045,42;52604,70
04;Alt Urgell;1,22;5138,06;4399,54;9537,60
05;Alta Ribagorça;1,24;1287,32;633,12;1920,44
06;Anoia;1,42;48329,40;13171,14;61500,54
39;Aran;2,26;5453,00;2833,15;8286,15
07;Bages;1,17;47587,31;31987,59;79574,90
08;Baix Camp;1,37;59493,33;37282,14;96775,47
09;Baix Ebre;1,46;24040,85;20217,67;44258,52
10;Baix Empordà;2,11;68066,49;34796,79;102863,28
11;Baix Llobregat;1,20;222319,81;132234,04;354553,85
12;Baix Penedès;1,75;48930,47;15710,95;64641,42
13;Barcelonès;1,21;653884,96;337662,04;991547,00
14;Berguedà;1,27;13971,58;5178,97;19150,55
15;Cerdanya;1,72;9355,62;2578,01;11933,63
16;Conca de Barberà;1,39;5489,67;5257,65;10747,32
17;Garraf;1,54;53131,94;29530,35;82662,29
18;Garrigues;0,99;5775,03;1516,64;7291,67
19;Garrotxa;1,34;17302,74;9928,86;27231,60
20;Gironès;1,10;45098,75;28916,62;74015,37
21;Maresme;1,50;136502,51;102720,11;239222,63
22;Montsià;1,23;15472,02;17016,74;32488,76
23;Noguera;1,06;11386,60;4167,70;15554,30
24;Osona;1,15;26947,80;38119,88;65067,68
25;Pallars Jussà;1,25;4058,38;2377,12;6435,50
26;Pallars Sobirà;1,50;2709,11;1384,77;4093,88
27;Pla d'Urgell;1,06;7807,37;6618,01;14425,37
28;Pla de l'Estany;1,28;9081,65;5607,07;14688,72
29;Priorat;1,25;2240,89;2321,35;4562,24
30;Ribera d'Ebre;1,29;5357,19;5860,27;11217,46
31;Ripollès;1,50;8225,71;6198,00;14423,71
32;Segarra;1,01;3953,23;4684,17;8637,40
33;Segrià;1,10;62807,05;21133,31;83940,36
34;Selva;1,72;74984,29;34053,43;109037,72
35;Solsonès;1,27;4010,12;2316,52;6326,64
36;Tarragonès;1,60;94815,68;52128,32;146944,00
37;Terra Alta;0,97;1819,59;2686,41;4506,00
38;Urgell;1,16;10174,19;5504,99;15679,18
40;Vallès Occidental;1,11;227910,98;134853,81;362764,79
41;Vallès Oriental;1,26;113774,94;71654,91;185429,85
;Catalunya;1,35;2275348,65;1457942,92;3733291,57

