Residus municipals. Generació. Total registrat i generació per càpita
Comarques i Aran. 2016
Unitats: Tones.
Font: Agència de Residus de Catalunya.
Nota: les dades es presenten segons la distribució territorial vigent en aquell moment: 41 comarques i l’entitat territorial singular Aran. (Aquesta distribució territorial està establerta en diverses lleis anteriors d’organització territorial comarcal i en la Llei 4/2015, de creació de la comarca del Moianès, que modifica territorialment el Bages, Osona i el Vallès Oriental).
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=resmc&n=6997&geo=com&t=201600
Codi;Nom;Total kg/hab./dia;Recollida no selectiva;Recollida selectiva;Total
01;Alt Camp;1,28;12270,83;8267,44;20538,27
02;Alt Empordà;2,15;71144,70;38972,21;110116,92
03;Alt Penedès;1,34;30961,59;21151,69;52113,28
04;Alt Urgell;1,31;4951,81;4879,26;9831,08
05;Alta Ribagorça;1,45;1263,44;785,57;2049,01
06;Anoia;1,44;42663,34;19120,13;61783,47
39;Aran;2,69;5168,17;4596,93;9765,10
07;Bages;1,24;45048,16;34038,82;79086,98
08;Baix Camp;1,48;60311,91;41590,24;101902,14
09;Baix Ebre;1,42;24555,45;16425,47;40980,92
10;Baix Empordà;2,19;64036,60;41861,05;105897,65
11;Baix Llobregat;1,22;232049,89;127605,68;359655,57
12;Baix Penedès;1,78;46396,90;18309,30;64706,20
13;Barcelonès;1,22;667338,32;328185,92;995524,24
14;Berguedà;1,34;13543,22;5658,14;19201,36
15;Cerdanya;1,96;9645,55;2992,75;12638,30
16;Conca de Barberà;1,46;5390,49;5411,21;10801,70
17;Garraf;1,63;55762,50;31494,35;87256,85
18;Garrigues;1,06;5288,94;2113,66;7402,60
19;Garrotxa;1,40;15643,32;13024,40;28667,72
20;Gironès;1,17;42433,09;36929,51;79362,60
21;Maresme;1,50;135537,66;105534,23;241071,89
42;Moianès;1,53;3559,42;3839,59;7399,01
22;Montsià;1,33;16042,58;16761,28;32803,86
23;Noguera;1,12;11715,19;4274,69;15989,88
24;Osona;1,17;26707,97;39935,19;66643,16
25;Pallars Jussà;1,25;4235,70;1882,41;6118,11
26;Pallars Sobirà;1,75;2015,40;2456,68;4472,08
27;Pla d'Urgell;1,10;8194,59;6579,69;14774,28
28;Pla de l'Estany;1,33;9666,04;5617,25;15283,29
29;Priorat;1,26;2207,74;2113,52;4321,26
30;Ribera d'Ebre;1,23;5154,59;4916,58;10071,17
31;Ripollès;1,50;7981,07;5798,62;13779,69
32;Segarra;1,09;4438,64;4597,16;9035,80
33;Segrià;1,13;64963,04;20918,84;85881,88
34;Selva;1,77;71567,14;36955,74;108522,88
35;Solsonès;1,38;4322,55;2405,76;6728,31
36;Tarragonès;1,64;99204,31;50637,45;149841,76
37;Terra Alta;0,97;1990,46;2186,82;4177,28
38;Urgell;1,25;10296,24;6101,16;16397,40
40;Vallès Occidental;1,10;231905,59;132560,26;364465,86
41;Vallès Oriental;1,25;113767,81;69242,44;183010,25
;Catalunya;1,36;2291341,96;1440708,11;3732050,06

