Població a 1 de gener. Per sexe i grups d'edat. Total. Comarques, àmbits i províncies
2001
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=200100&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;5331;4342;10713;7806;6851;35043
Alt Empordà;15362;11564;30381;22055;17926;97288
Alt Penedès;12076;9918;25255;17502;13972;78723
Alt Urgell;2523;2057;5813;4234;4324;18951
Alta Ribagorça;450;366;1168;731;773;3488
Anoia;14541;12370;28868;20720;15616;92115
Bages;21530;18845;46476;34913;31666;153430
Baix Camp;23633;19230;46120;32441;23144;144568
Baix Ebre;9450;8140;18746;15270;14166;65772
Baix Empordà;16101;12165;32072;23198;17672;101208
Baix Llobregat;109483;91976;236645;160324;85724;684152
Baix Penedès;9375;7220;18677;14497;8896;58665
Barcelonès;263883;241919;627807;516054;416493;2066156
Berguedà;4659;4139;10534;8721;9561;37614
Cerdanya;1958;1604;4548;3147;2460;13717
Conca de Barberà;2558;2168;5379;4008;4477;18590
Garraf;16785;12840;35669;24447;15682;105423
Garrigues;2357;2054;5024;4347;5196;18978
Garrotxa;6542;5281;13910;10665;11020;47418
Gironès;22853;18305;43910;29075;21665;135808
Maresme;57329;44583;115375;80990;50577;348854
Montsià;8205;7213;16923;12632;11656;56629
Noguera;4619;4004;9929;7567;8476;34595
Osona;20164;16107;40296;27823;23378;127768
Pallars Jussà;1426;1122;3341;2628;3583;12100
Pallars Sobirà;772;545;2002;1289;1481;6089
Pla d'Urgell;4244;3458;8867;6391;6498;29458
Pla de l'Estany;4209;3126;7653;5260;4580;24828
Priorat;1035;942;2483;2096;2614;9170
Ribera d'Ebre;3001;2616;5942;4915;5328;21802
Ripollès;3008;2885;7257;6256;6300;25706
Segarra;2681;2036;5498;3753;4006;17974
Segrià;24819;20627;51461;36954;30550;164411
Selva;18411;14108;37288;26165;17986;113958
Solsonès;1623;1316;3471;2580;2378;11368
Tarragonès;28886;24024;58747;41108;26279;179044
Terra Alta;1434;1299;3000;2943;3499;12175
Urgell;4393;3569;9108;6518;6962;30550
Val d'Aran;1315;881;2840;1562;1049;7647
Vallès Occidental;121840;97014;245799;162543;100329;727525
Vallès Oriental;52749;41821;109134;69547;41296;314547
Catalunya;927613;779799;1994129;1465675;1086089;6253305
Metropolità;634145;540071;1395684;1031407;724073;4325380
Comarques Gironines;86486;67434;172471;122674;97149;546214
Camp de Tarragona;70818;57926;142119;101956;72261;445080
Terres de l'Ebre;22090;19268;44611;35760;34649;156378
Ponent;43113;35748;89887;65530;61688;295966
Comarques Centrals;62517;52777;129645;94757;82599;422295
Alt Pirineu i Aran;8444;6575;19712;13591;13670;61992
Barcelona;695039;591532;1521858;1123584;804294;4736307
Girona;87989;68693;176004;125110;99095;556891
Lleida;51677;42380;109537;79265;75790;358649
Tarragona;92908;77194;186730;137716;106910;601458
Població a 1 de gener. Per sexe i grups d'edat. Homes. Comarques, àmbits i províncies
2001
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=200100&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;2742;2253;5558;3987;3020;17560
Alt Empordà;7826;5959;15415;11271;7967;48438
Alt Penedès;6127;5119;13025;8932;6105;39308
Alt Urgell;1289;1072;2985;2193;2002;9541
Alta Ribagorça;233;180;631;382;377;1803
Anoia;7489;6411;14932;10388;6758;45978
Bages;11143;9622;23911;17217;13296;75189
Baix Camp;12033;9774;23295;16299;10046;71447
Baix Ebre;4931;4146;9670;7580;6294;32621
Baix Empordà;8210;6212;16448;11811;7756;50437
Baix Llobregat;56337;47091;120339;80335;36732;340834
Baix Penedès;4728;3753;9620;7496;4071;29668
Barcelonès;135556;123528;314490;243795;164335;981704
Berguedà;2402;2166;5403;4343;4115;18429
Cerdanya;1070;830;2412;1665;1121;7098
Conca de Barberà;1346;1127;2857;2055;1983;9368
Garraf;8583;6518;17852;12228;6668;51849
Garrigues;1224;1076;2698;2249;2393;9640
Garrotxa;3328;2641;7226;5391;4716;23302
Gironès;11649;9144;21963;14441;9121;66318
Maresme;29654;23014;58123;40531;21173;172495
Montsià;4118;3767;8782;6405;5285;28357
Noguera;2300;2061;5253;3798;3928;17340
Osona;10444;8256;20722;13965;9828;63215
Pallars Jussà;747;562;1733;1349;1642;6033
Pallars Sobirà;398;270;1050;694;709;3121
Pla d'Urgell;2133;1732;4678;3194;2916;14653
Pla de l'Estany;2129;1531;3892;2641;2025;12218
Priorat;529;489;1369;1089;1194;4670
Ribera d'Ebre;1555;1384;3064;2527;2397;10927
Ripollès;1546;1509;3747;3173;2713;12688
Segarra;1337;1043;2888;1896;1810;8974
Segrià;12778;10610;26177;18240;13196;81001
Selva;9567;7299;19084;13421;8074;57445
Solsonès;865;653;1830;1344;1109;5801
Tarragonès;14952;12401;29472;20548;11342;88715
Terra Alta;763;674;1603;1543;1613;6196
Urgell;2229;1836;4738;3280;3065;15148
Val d'Aran;672;442;1462;844;487;3907
Vallès Occidental;62781;49615;123888;80725;42122;359131
Vallès Oriental;26929;21669;55394;35306;17946;157244
Catalunya;476672;399439;1009679;720571;453450;3059811
Metropolità;325967;276554;703111;501852;295081;2102565
Comarques Gironines;44255;34295;87775;62149;42372;270846
Camp de Tarragona;36330;29797;72171;51474;31656;221428
Terres de l'Ebre;11367;9971;23119;18055;15589;78101
Ponent;22001;18358;46432;32657;27308;146756
Comarques Centrals;32343;27108;66798;47257;35106;208612
Alt Pirineu i Aran;4409;3356;10273;7127;6338;31503
Barcelona;357445;303009;768079;547765;329078;2305376
Girona;45085;34961;89656;63450;43245;276397
Lleida;26445;21701;56654;39827;33882;178509
Tarragona;47697;39768;95290;69529;47245;299529
Població a 1 de gener. Per sexe i grups d'edat. Dones. Comarques, àmbits i províncies
2001
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=200100&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;2589;2089;5155;3819;3831;17483
Alt Empordà;7536;5605;14966;10784;9959;48850
Alt Penedès;5949;4799;12230;8570;7867;39415
Alt Urgell;1234;985;2828;2041;2322;9410
Alta Ribagorça;217;186;537;349;396;1685
Anoia;7052;5959;13936;10332;8858;46137
Bages;10387;9223;22565;17696;18370;78241
Baix Camp;11600;9456;22825;16142;13098;73121
Baix Ebre;4519;3994;9076;7690;7872;33151
Baix Empordà;7891;5953;15624;11387;9916;50771
Baix Llobregat;53146;44885;116306;79989;48992;343318
Baix Penedès;4647;3467;9057;7001;4825;28997
Barcelonès;128327;118391;313317;272259;252158;1084452
Berguedà;2257;1973;5131;4378;5446;19185
Cerdanya;888;774;2136;1482;1339;6619
Conca de Barberà;1212;1041;2522;1953;2494;9222
Garraf;8202;6322;17817;12219;9014;53574
Garrigues;1133;978;2326;2098;2803;9338
Garrotxa;3214;2640;6684;5274;6304;24116
Gironès;11204;9161;21947;14634;12544;69490
Maresme;27675;21569;57252;40459;29404;176359
Montsià;4087;3446;8141;6227;6371;28272
Noguera;2319;1943;4676;3769;4548;17255
Osona;9720;7851;19574;13858;13550;64553
Pallars Jussà;679;560;1608;1279;1941;6067
Pallars Sobirà;374;275;952;595;772;2968
Pla d'Urgell;2111;1726;4189;3197;3582;14805
Pla de l'Estany;2080;1595;3761;2619;2555;12610
Priorat;506;453;1114;1007;1420;4500
Ribera d'Ebre;1446;1232;2878;2388;2931;10875
Ripollès;1462;1376;3510;3083;3587;13018
Segarra;1344;993;2610;1857;2196;9000
Segrià;12041;10017;25284;18714;17354;83410
Selva;8844;6809;18204;12744;9912;56513
Solsonès;758;663;1641;1236;1269;5567
Tarragonès;13934;11623;29275;20560;14937;90329
Terra Alta;671;625;1397;1400;1886;5979
Urgell;2164;1733;4370;3238;3897;15402
Val d'Aran;643;439;1378;718;562;3740
Vallès Occidental;59059;47399;121911;81818;58207;368394
Vallès Oriental;25820;20152;53740;34241;23350;157303
Catalunya;450941;380360;984450;745104;632639;3193494
Metropolità;308178;263517;692573;529555;428992;2222815
Comarques Gironines;42231;33139;84696;60525;54777;275368
Camp de Tarragona;34488;28129;69948;50482;40605;223652
Terres de l'Ebre;10723;9297;21492;17705;19060;78277
Ponent;21112;17390;43455;32873;34380;149210
Comarques Centrals;30174;25669;62847;47500;47493;213683
Alt Pirineu i Aran;4035;3219;9439;6464;7332;30489
Barcelona;337594;288523;753779;575819;475216;2430931
Girona;42904;33732;86348;61660;55850;280494
Lleida;25232;20679;52883;39438;41908;180140
Tarragona;45211;37426;91440;68187;59665;301929

