Residus municipals. Generació. Total registrat i generació per càpita
Comarques i Aran. 2018
Unitats: Tones.
Font: Agència de Residus de Catalunya.
Nota: les dades es presenten segons la distribució territorial vigent en aquell moment: 41 comarques i l’entitat territorial singular Aran. (Aquesta distribució territorial està establerta en diverses lleis anteriors d’organització territorial comarcal i en la Llei 4/2015, de creació de la comarca del Moianès, que modifica territorialment el Bages, Osona i el Vallès Oriental).
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=resmc&n=6997&geo=com&t=201800
Codi;Nom;Total kg/hab./dia;Recollida no selectiva;Recollida selectiva;Total
01;Alt Camp;1,41;12992,08;9613,46;22605,54
02;Alt Empordà;2,25;68685,01;46699,97;115384,98
03;Alt Penedès;1,50;32778,32;26239,14;59017,46
04;Alt Urgell;1,41;5114,25;5286,29;10400,54
05;Alta Ribagorça;1,60;1238,07;967,42;2205,49
06;Anoia;1,48;39115,99;25342,18;64458,17
39;Aran;2,32;5201,30;3266,32;8467,62
07;Bages;1,31;43816,56;40568,57;84385,13
08;Baix Camp;1,55;63283,14;43753,39;107036,53
09;Baix Ebre;1,46;25201,82;16363,63;41565,45
10;Baix Empordà;2,27;64438,56;46247,85;110686,41
11;Baix Llobregat;1,27;233989,88;146360,27;380350,15
12;Baix Penedès;1,86;45417,38;24139,89;69557,27
13;Barcelonès;1,28;687466,56;365616,53;1053083,09
14;Berguedà;1,35;10876,60;8366,64;19243,24
15;Cerdanya;2,03;9976,28;3301,12;13277,40
16;Conca de Barberà;1,52;5370,70;5753,42;11124,12
17;Garraf;1,69;56729,00;35360,40;92089,40
18;Garrigues;1,11;4729,97;2888,17;7618,14
19;Garrotxa;1,43;15019,95;14631,03;29650,98
20;Gironès;1,22;43841,29;40896,75;84738,03
21;Maresme;1,54;136350,82;115967,67;252318,49
42;Moianès;1,60;3527,73;4335,52;7863,25
22;Montsià;1,42;16925,29;17807,57;34732,86
23;Noguera;1,22;11889,70;5287,29;17176,99
24;Osona;1,22;26951,41;43349,22;70300,63
25;Pallars Jussà;1,42;4115,39;2686,38;6801,77
26;Pallars Sobirà;2,10;2268,86;3043,53;5312,39
27;Pla d'Urgell;1,19;8673,96;7295,62;15969,58
28;Pla de l'Estany;1,37;9205,50;6758,94;15964,44
29;Priorat;1,57;2157,82;3170,49;5328,31
30;Ribera d'Ebre;1,21;4907,55;4827,33;9734,88
31;Ripollès;1,62;8184,89;6635,66;14820,55
32;Segarra;1,21;4703,74;5403,40;10107,14
33;Segrià;1,20;61844,53;29706,87;91551,40
34;Selva;1,86;70203,31;44833,35;115036,66
35;Solsonès;1,43;4238,65;2729,13;6967,78
36;Tarragonès;1,69;100588,13;55538,99;156127,12
37;Terra Alta;0,99;1869,79;2298,60;4168,39
38;Urgell;1,32;10245,46;7275,54;17521,00
40;Vallès Occidental;1,18;236018,22;157973,70;393991,92
41;Vallès Oriental;1,33;116312,62;80525,15;196837,76
;Catalunya;1,43;2316466,05;1659213,13;3975679,18

