Població a 1 de gener. Per sexe i grups d'edat. Total. Comarques, àmbits i províncies
2004
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=200400&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;5923;4249;12277;8726;6957;38132
Alt Empordà;17353;11802;35587;25287;19276;109305
Alt Penedès;14099;9651;30126;19791;14662;88329
Alt Urgell;2527;2010;6297;4635;4331;19800
Alta Ribagorça;491;342;1265;840;771;3709
Anoia;16318;11489;33208;22871;16400;100286
Bages;23601;17286;51635;37823;32652;162997
Baix Camp;26025;17588;51901;35847;24339;155700
Baix Ebre;10060;7891;21318;16292;14673;70234
Baix Empordà;17540;11890;36589;26397;19061;111477
Baix Llobregat;117907;80548;261915;170667;94527;725564
Baix Penedès;11689;7753;24000;17789;10655;71886
Barcelonès;277832;218300;711144;531619;425300;2164195
Berguedà;4793;4005;11163;9418;9599;38978
Cerdanya;2300;1710;5485;3669;2592;15756
Conca de Barberà;2695;2091;5807;4329;4481;19403
Garraf;19456;12023;41575;28260;17127;118441
Garrigues;2384;1920;5303;4553;5156;19316
Garrotxa;7049;4973;15041;11693;11147;49903
Gironès;25913;17857;52316;32735;22723;151544
Maresme;62252;42377;129799;90910;55011;380349
Montsià;8661;6723;19099;13449;12022;59954
Noguera;4858;3632;10724;8073;8479;35766
Osona;22112;15004;44406;30924;24167;136613
Pallars Jussà;1488;1170;3594;2850;3615;12717
Pallars Sobirà;890;560;2255;1499;1474;6678
Pla d'Urgell;4590;3271;10013;6889;6558;31321
Pla de l'Estany;4568;2933;8395;5926;4680;26502
Priorat;1068;845;2681;2267;2582;9443
Ribera d'Ebre;2891;2384;6068;5346;5305;21994
Ripollès;3017;2604;7596;6625;6283;26125
Segarra;3030;2096;6779;4144;4059;20108
Segrià;26660;18984;57307;39330;31506;173787
Selva;20994;13902;44104;30296;19938;129234
Solsonès;1876;1283;3879;2828;2486;12352
