Residus municipals. Generació. Total registrat i generació per càpita
Comarques i Aran. 2020
Unitats: Tones.
Font: Agència de Residus de Catalunya.
Nota: les dades es presenten segons la distribució territorial vigent en aquell moment: 41 comarques i l’entitat territorial singular Aran. (Aquesta distribució territorial està establerta en diverses lleis anteriors d’organització territorial comarcal i en la Llei 4/2015, de creació de la comarca del Moianès, que modifica territorialment el Bages, Osona i el Vallès Oriental).
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=resmc&n=6997&geo=com&t=202000
Codi;Nom;Total kg/hab./dia;Recollida no selectiva;Recollida selectiva;Total
01;Alt Camp;1,42;12426,32;10716,08;23142,40
02;Alt Empordà;2,23;57256,74;58902,74;116159,49
03;Alt Penedès;1,57;33577,18;29347,09;62924,27
04;Alt Urgell;1,38;4928,73;5229,68;10158,41
05;Alta Ribagorça;1,57;1094,16;1094,03;2188,19
06;Anoia;1,47;36274,51;29695,93;65970,44
39;Aran;2,09;4727,40;3040,02;7767,42
07;Bages;1,38;43219,70;47707,52;90927,22
08;Baix Camp;1,49;59349,15;46091,33;105440,48
09;Baix Ebre;1,58;23932,29;20950,09;44882,38
10;Baix Empordà;2,14;56048,56;50013,99;106062,55
11;Baix Llobregat;1,28;226488,06;164343,91;390831,97
12;Baix Penedès;1,85;44838,51;27760,50;72599,01
13;Barcelonès;1,16;625683,30;357444,32;983127,62
14;Berguedà;1,24;5441,27;12655,80;18097,07
15;Cerdanya;1,97;9732,63;3581,94;13314,57
16;Conca de Barberà;1,49;4228,54;6643,81;10872,36
17;Garraf;1,62;53531,00;36866,53;90397,53
18;Garrigues;1,10;4392,14;3207,37;7599,51
19;Garrotxa;1,28;13791,28;13670,51;27461,79
20;Gironès;1,24;42146,30;46728,28;88874,58
21;Maresme;1,51;129926,95;122028,77;251955,72
42;Moianès;1,65;3043,21;5341,31;8384,52
22;Montsià;1,42;17001,80;18371,45;35373,25
23;Noguera;1,23;10268,84;7237,54;17506,38
24;Osona;1,25;24649,45;49879,05;74528,50
25;Pallars Jussà;1,50;4106,86;3122,97;7229,83
26;Pallars Sobirà;1,85;1894,22;2782,93;4677,15
27;Pla d'Urgell;1,29;8909,53;8383,11;17292,64
28;Pla de l'Estany;1,38;9160,02;7311,37;16471,39
29;Priorat;1,33;1969,40;2481,11;4450,51
30;Ribera d'Ebre;1,25;5069,64;4889,50;9959,14
31;Ripollès;1,54;7136,26;7104,17;14240,43
32;Segarra;1,27;4581,87;6194,14;10776,01
33;Segrià;1,15;51767,31;37202,47;88969,78
34;Selva;1,69;58124,51;49420,00;107544,51
35;Solsonès;1,34;3484,68;3105,45;6590,13
36;Tarragonès;1,45;87034,21;51365,56;138399,77
37;Terra Alta;1,08;1701,82;2807,96;4509,78
38;Urgell;1,37;10266,31;8264,90;18531,21
40;Vallès Occidental;1,21;231373,09;182994,34;414367,43
41;Vallès Oriental;1,36;114517,42;91986,46;206503,88
;Catalunya;1,40;2149095,16;1824099,05;3973194,20

