Residus municipals. Generació. Total registrat i generació per càpita
Comarques i Aran. 2007
Unitats: Tones.
Font: Agència de Residus de Catalunya.
Nota: les dades es presenten segons la distribució territorial vigent en aquell moment: 40 comarques i l’entitat territorial singular Aran. (Aquesta distribució territorial està establerta en diverses lleis anteriors d’organització territorial comarcal i en la Llei 3/1990, de modificació de la divisió comarcal de Catalunya, a partir de la qual diversos municipis canvien de comarca). Durant aquest període, Aran canvia el seu règim jurídic i passa de ser una comarca a ser una entitat territorial singular, d’acord amb la Llei 1/2015, del règim especial d’Aran.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=resmc&n=6997&geo=com&t=200700
Codi;Nom;Total kg/hab./dia;Recollida no selectiva;Recollida selectiva;Total
01;Alt Camp;1,44;13916,42;8460,07;22376,42
02;Alt Empordà;2,51;86034,31;32131,61;118166,17
03;Alt Penedès;1,67;39131,40;21020,91;60152,33
04;Alt Urgell;1,29;5162,29;4977,66;10139,92
05;Alta Ribagorça;1,67;1997,65;515,02;2512,67
06;Anoia;1,56;52063,09;11589,49;63652,46
39;Aran;2,74;6965,01;2840,63;9805,60
07;Bages;1,47;62264,11;32468,38;94732,52
08;Baix Camp;1,76;77827,44;37880,87;115708,32
09;Baix Ebre;1,49;33777,63;8949,47;42727,07
10;Baix Empordà;2,44;89840,72;22676,39;112517,01
11;Baix Llobregat;1,39;265756,70;126191,93;391948,52
12;Baix Penedès;2,28;62382,81;13169,68;75552,52
13;Barcelonès;1,46;817293,07;364740,18;1182033,14
14;Berguedà;1,44;15852,02;5388,01;21240,06
15;Cerdanya;2,07;10860,29;2542,28;13402,56
16;Conca de Barberà;1,49;6332,77;4906,52;11239,22
17;Garraf;1,94;61391,00;35098,56;96489,53
18;Garrigues;1,11;6787,07;1323,11;8110,22
19;Garrotxa;1,55;22733,47;7446,80;30180,32
20;Gironès;1,38;51577,61;34061,01;85638,57
21;Maresme;1,72;167918,74;91433,76;259352,45
22;Montsià;1,51;26131,26;11171,68;37302,96
23;Noguera;1,19;14329,25;2452,80;16782,05
24;Osona;1,34;35630,09;36590,78;72220,86
25;Pallars Jussà;1,55;4677,21;2938,83;7616,02
26;Pallars Sobirà;1,64;2904,09;1410,41;4314,41
27;Pla d'Urgell;1,26;13743,33;2340,70;16084,01
28;Pla de l'Estany;1,63;11718,26;5512,52;17230,77
29;Priorat;1,45;2955,97;2206,86;5162,77
30;Ribera d'Ebre;1,50;6320,90;6462,12;12782,97
31;Ripollès;1,84;11905,63;5902,73;17808,31
32;Segarra;1,42;6684,02;4572,80;11256,88
33;Segrià;1,31;69479,97;21639,51;91119,46
34;Selva;2,21;102424,53;25027,26;127451,80
35;Solsonès;1,49;5498,61;1803,73;7302,30
36;Tarragonès;2,00;130490,83;38372,41;168863,14
37;Terra Alta;1,05;3204,65;1649,57;4854,21
38;Urgell;1,28;12940,53;3377,51;16318,05
40;Vallès Occidental;1,41;304852,56;131725,97;436578,51
41;Vallès Oriental;1,42;131831,27;63496,83;195328,07
;Catalunya;1,63;2855588,46;1442749,58;4298338,04

