Residus municipals. Generació. Total registrat i generació per càpita
Comarques i Aran. 2001
Unitats: Tones.
Font: Agència de Residus de Catalunya.
Nota: les dades es presenten segons la distribució territorial vigent en aquell moment: 40 comarques i l’entitat territorial singular Aran. (Aquesta distribució territorial està establerta en diverses lleis anteriors d’organització territorial comarcal i en la Llei 3/1990, de modificació de la divisió comarcal de Catalunya, a partir de la qual diversos municipis canvien de comarca). Durant aquest període, Aran canvia el seu règim jurídic i passa de ser una comarca a ser una entitat territorial singular, d’acord amb la Llei 1/2015, del règim especial d’Aran.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=resmc&n=6997&geo=com&t=200100
Codi;Nom;Total kg/hab./dia;Recollida no selectiva;Recollida selectiva;Total
01;Alt Camp;1,40;14610,99;2963,85;17574,85
02;Alt Empordà;2,97;87750,30;13359,15;101109,32
03;Alt Penedès;1,66;35310,00;8981,00;44290,96
04;Alt Urgell;1,21;5484,20;2929,93;8414,13
05;Alta Ribagorça;1,65;1900,99;236,90;2137,91
06;Anoia;1,49;42740,34;4420,68;47160,94
39;Aran;2,59;6286,00;449,02;6735,02
07;Bages;1,42;72617,00;6437,72;79054,68
08;Baix Camp;1,76;73962,64;16473,85;90436,42
09;Baix Ebre;1,53;34278,10;2443,56;36721,64
10;Baix Empordà;3,02;95042,75;10934,68;105977,46
11;Baix Llobregat;1,46;287344,46;55860,32;343204,71
12;Baix Penedès;3,35;55618,61;2446,23;58064,85
13;Barcelonès;1,29;874289,02;131821,28;1006110,36
14;Berguedà;1,33;16750,01;2059,84;18809,85
15;Cerdanya;2,35;9644,04;1276,89;10920,91
16;Conca de Barberà;1,18;6928,76;940,28;7868,97
17;Garraf;2,31;56338,00;19892,67;76230,67
18;Garrigues;1,14;7463,70;531,25;7994,96
19;Garrotxa;1,47;22805,29;2231,99;25037,28
20;Gironès;1,55;63915,30;9302,48;73217,72
21;Maresme;1,95;198064,66;28565,83;226630,51
22;Montsià;1,47;25287,28;4064,68;29351,96
23;Noguera;1,51;17781,61;1176,97;18958,58
24;Osona;1,39;48213,59;14196,96;62410,62
25;Pallars Jussà;1,16;4629,01;816,66;5445,75
26;Pallars Sobirà;3,14;5816,02;846,88;6662,88
27;Pla d'Urgell;1,25;11860,05;1406,98;13266,98
28;Pla de l'Estany;1,73;13736,41;1337,66;15074,07
29;Priorat;1,07;3308,79;278,09;3586,90
30;Ribera d'Ebre;1,05;8060,82;537,95;8598,78
31;Ripollès;1,50;13295,00;1184,29;14479,28
32;Segarra;1,71;9665,02;1222,16;10887,18
33;Segrià;1,26;70319,43;5120,25;75439,62
34;Selva;2,56;88048,25;9793,94;97842,19
35;Solsonès;1,41;4886,00;844,90;5730,93
36;Tarragonès;2,12;115009,71;15678,42;130688,07
37;Terra Alta;1,03;4519,98;229,89;4749,90
38;Urgell;1,17;11780,71;1118,73;12899,44
40;Vallès Occidental;1,50;318807,55;56106,15;374913,66
41;Vallès Oriental;1,62;135709,53;32608,15;168317,60
;Catalunya;1,61;2979879,83;603674,94;3583554,77

