Població a 1 de gener. Per sexe i grups d'edat. Total. Comarques, àmbits i províncies
2002
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=200200&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;2784;2264;5745;4074;3032;17899
Alt Empordà;7986;5919;15950;11495;8095;49445
Alt Penedès;6353;5074;13764;9161;6178;40530
Alt Urgell;1311;1038;2987;2221;2035;9592
Alta Ribagorça;227;166;631;395;359;1778
Anoia;7664;6237;15452;10550;6825;46728
Bages;11288;9382;24611;17452;13461;76194
Baix Camp;12165;9430;23910;16478;10071;72054
Baix Ebre;4880;4137;10027;7640;6333;33017
Baix Empordà;7998;6213;17054;12082;7974;51321
Baix Llobregat;57059;45160;123994;80983;38029;345225
Baix Penedès;4881;3766;10255;7821;4279;31002
Barcelonès;136232;120687;327845;245045;166005;995814
Berguedà;2424;2148;5538;4417;4152;18679
Cerdanya;1101;833;2550;1707;1153;7344
Conca de Barberà;1383;1110;2947;2071;1973;9484
Garraf;8822;6337;18438;12545;6840;52982
Garrigues;1195;1056;2753;2238;2399;9641
Garrotxa;3370;2568;7341;5464;4781;23524
Gironès;11251;8894;22659;14688;9305;66797
Maresme;30125;22748;60405;41426;21782;176486
Montsià;4216;3733;9203;6459;5333;28944
Noguera;2350;1979;5333;3847;3962;17471
Osona;10620;8130;21268;14271;9991;64280
Pallars Jussà;732;566;1742;1350;1642;6032
Pallars Sobirà;407;276;1079;710;691;3163
Pla d'Urgell;2178;1726;4799;3240;2905;14848
Pla de l'Estany;1756;1533;4057;2682;2049;12077
Priorat;533;466;1409;1101;1194;4703
Ribera d'Ebre;1520;1342;3055;2527;2426;10870
Ripollès;1531;1500;3763;3227;2733;12754
Segarra;1375;1076;3159;1935;1836;9381
Segrià;12672;10384;27007;18416;13356;81835
Selva;9822;7313;20074;13767;8329;59305
Solsonès;871;638;1876;1358;1103;5846
Tarragonès;14769;12145;30441;20978;11619;89952
Terra Alta;756;678;1637;1517;1624;6212
Urgell;2294;1791;4946;3286;3130;15447
Val d'Aran;662;449;1461;877;493;3942
Vallès Occidental;63648;48119;127323;81993;42956;364039
Vallès Oriental;27452;21180;57597;36191;18515;160935
Catalunya;480663;390191;1046085;729685;460948;3107572
Metropolità;329691;269305;729366;507344;300305;2136011
Comarques Gironines;43714;33940;90898;63405;43266;275223
Camp de Tarragona;36515;29181;74707;52523;32168;225094
Terres de l'Ebre;11372;9890;23922;18143;15716;79043
Ponent;22064;18012;47997;32962;27588;148623
Comarques Centrals;32867;26535;68745;48048;35532;211727
Alt Pirineu i Aran;4440;3328;10450;7260;6373;31851
Barcelona;361650;295177;796118;553970;334650;2341565
Girona;44633;34649;93027;64751;44156;281216
Lleida;26493;21294;58311;40298;34258;180654
Tarragona;47887;39071;98629;70666;47884;304137
Població a 1 de gener. Per sexe i grups d'edat. Dones. Comarques, àmbits i províncies
2002
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=200200&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;2780;2060;5588;4041;3909;18378
Alt Empordà;8135;5717;16379;11691;10524;52446
Alt Penedès;6567;4710;13537;9208;8169;42191
Alt Urgell;1215;1055;2998;2135;2349;9752
Alta Ribagorça;228;186;564;369;407;1754
Anoia;7536;5755;15002;10755;9276;48324
Bages;10907;8771;23958;18259;19041;80936
Baix Camp;12262;8964;24337;16998;13645;76206
Baix Ebre;4747;3898;9705;7924;8134;34408
Baix Empordà;8262;5766;16787;12247;10533;53595
Baix Llobregat;55744;41252;124321;83404;52703;357424
Baix Penedès;5353;3683;10513;8049;5461;33059
Barcelonès;133579;113841;342184;276336;257647;1123587
Berguedà;2292;1958;5291;4476;5518;19535
Cerdanya;1053;827;2383;1607;1415;7285
Conca de Barberà;1263;1025;2664;2023;2548;9523
Garraf;9068;6072;19770;13332;9671;57913
Garrigues;1127;963;2432;2169;2789;9480
Garrotxa;3366;2456;6934;5454;6398;24608
Gironès;12011;8999;24169;15702;13133;74014
Maresme;29114;20891;61719;43349;31262;186335
Montsià;4183;3420;8762;6389;6512;29266
Noguera;2313;1831;4889;3820;4627;17480
Osona;10193;7407;20505;14624;13964;66693
Pallars Jussà;695;570;1645;1303;2004;6217
Pallars Sobirà;434;274;1023;611;785;3127
Pla d'Urgell;2149;1671;4466;3276;3648;15210
Pla de l'Estany;2194;1504;3966;2774;2647;13085
Priorat;521;397;1167;1021;1420;4526
Ribera d'Ebre;1435;1177;2937;2434;2954;10937
Ripollès;1464;1307;3596;3188;3588;13143
Segarra;1448;1025;2864;1959;2259;9555
Segrià;12613;9546;26767;19219;17967;86112
Selva;9606;6642;20039;13904;10741;60932
Solsonès;863;642;1752;1295;1330;5882
Tarragonès;14762;11177;31716;21974;15996;95625
Terra Alta;707;576;1487;1398;1908;6076
Urgell;2298;1703;4651;3364;3969;15985
Val d'Aran;629;448;1457;806;606;3946
Vallès Occidental;62358;44711;130690;86136;61751;385646
Vallès Oriental;27370;19392;57594;36701;24932;165989
Catalunya;474844;364269;1063208;775724;658140;3336185
Metropolità;323800;250869;749815;548466;446135;2319085
Comarques Gironines;45038;32391;91870;64960;57564;291823
Camp de Tarragona;36941;27306;75985;54106;42979;237317
Terres de l'Ebre;11072;9071;22891;18145;19508;80687
Ponent;21948;16739;46069;33807;35259;153822
Comarques Centrals;31791;24533;66508;49409;49129;221370
Alt Pirineu i Aran;4254;3360;10070;6831;7566;32081
Barcelona;354704;274721;814507;596539;493744;2534215
Girona;45940;33115;93849;66254;58723;297881
Lleida;26187;20056;55976;40680;43158;186057
Tarragona;48013;36377;98876;72251;62515;318032

