Població a 1 de gener. Per sexe i grups d'edat. Total. Comarques, àmbits i províncies
2007
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=200700&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Selva;12132;7378;25209;17682;12111;74512
Solsonès;1046;638;1981;1489;1370;6524
Tarragonès;18326;11610;38591;26708;17311;112546
Terra Alta;721;507;1564;1517;1807;6116
Urgell;2631;1682;5082;3930;3912;17237
Val d'Aran;678;498;1764;1053;585;4578
Vallès Occidental;71751;41071;144809;99010;65689;422330
Vallès Oriental;32133;17823;64364;43338;27492;185150
Catalunya;538869;337626;1179311;871866;680595;3608267
Metropolità;358727;225001;812088;601268;461354;2458438
Comarques Gironines;53973;33115;109583;79247;60874;336792
Camp de Tarragona;45933;28345;93058;66208;46175;279719
Terres de l'Ebre;12504;8671;26062;20846;19841;87924
Ponent;25253;16246;51988;38530;35287;167304
Comarques Centrals;37728;22925;75046;57559;49656;242914
Alt Pirineu i Aran;4751;3323;11486;8208;7408;35176
Barcelona;395436;247271;885161;657334;509541;2694743
Girona;55000;33835;111968;80790;62017;343610
Lleida;29996;19504;63062;46688;43021;202271
Tarragona;58437;37016;119120;87054;66016;367643

