Residus municipals. Generació. Total registrat i generació per càpita
Comarques i Aran. 2011
Unitats: Tones.
Font: Agència de Residus de Catalunya.
Nota: les dades es presenten segons la distribució territorial vigent en aquell moment: 40 comarques i l’entitat territorial singular Aran. (Aquesta distribució territorial està establerta en diverses lleis anteriors d’organització territorial comarcal i en la Llei 3/1990, de modificació de la divisió comarcal de Catalunya, a partir de la qual diversos municipis canvien de comarca). Durant aquest període, Aran canvia el seu règim jurídic i passa de ser una comarca a ser una entitat territorial singular, d’acord amb la Llei 1/2015, del règim especial d’Aran.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=resmc&n=6997&geo=com&t=201100
Codi;Nom;Total kg/hab./dia;Recollida no selectiva;Recollida selectiva;Total
01;Alt Camp;1,23;11603,78;8647,79;20251,57
02;Alt Empordà;2,29;77952,25;39319,50;117271,81
03;Alt Penedès;1,40;34005,16;20120,40;54125,59
04;Alt Urgell;1,22;5059,55;4701,16;9760,80
05;Alta Ribagorça;1,39;1465,07;709,16;2174,22
06;Anoia;1,47;51309,27;12408,99;63718,26
39;Aran;2,33;5725,09;2938,82;8663,91
07;Bages;1,22;48829,58;33946,78;82776,35
08;Baix Camp;1,58;62071,40;48469,78;110541,18
09;Baix Ebre;1,54;24589,47;21968,14;46557,59
10;Baix Empordà;2,15;70902,84;33474,06;104376,74
11;Baix Llobregat;1,29;234454,30;143107,15;377561,42
12;Baix Penedès;1,95;55845,86;15994,64;71840,53
13;Barcelonès;1,30;687322,80;378690,42;1066013,26
14;Berguedà;1,32;14504,75;5573,97;20078,68
15;Cerdanya;1,89;9981,98;2955,07;12937,09
16;Conca de Barberà;1,43;5737,68;5405,31;11142,98
17;Garraf;1,63;55393,00;31852,03;87245,02
18;Garrigues;1,03;5922,95;1679,17;7602,08
19;Garrotxa;1,46;18398,41;11248,49;29646,83
20;Gironès;1,16;47152,82;30114,27;77267,11
21;Maresme;1,62;144037,38;112834,88;256872,25
22;Montsià;1,35;16066,05;19624,63;35690,65
23;Noguera;1,12;12084,85;4384,56;16469,39
24;Osona;1,18;29050,42;37420,70;66471,11
25;Pallars Jussà;1,39;4224,12;3093,45;7317,57
26;Pallars Sobirà;1,56;2850,35;1436,97;4287,34
27;Pla d'Urgell;1,11;8074,64;7064,95;15139,57
28;Pla de l'Estany;1,37;9564,41;6063,45;15627,84
29;Priorat;1,29;2429,73;2329,14;4758,85
30;Ribera d'Ebre;1,24;5595,93;5222,89;10818,72
31;Ripollès;1,57;9107,57;6058,33;15165,88
32;Segarra;1,07;4455,38;4602,34;9057,71
33;Segrià;1,16;64737,68;22831,26;87568,94
34;Selva;1,85;80863,85;35393,39;116257,25
35;Solsonès;1,28;4258,23;2194,11;6452,26
36;Tarragonès;1,62;97731,21;49994,13;147725,26
37;Terra Alta;0,96;1967,26;2517,17;4484,43
38;Urgell;1,18;10693,00;5415,38;16108,37
40;Vallès Occidental;1,20;245152,31;146947,18;392099,45
41;Vallès Oriental;1,34;120891,73;74269,91;195161,55
;Catalunya;1,47;2402064,05;1642049,20;4044113,25

