Població a 1 de gener. Per sexe i grups d'edat. Total. Comarques, àmbits i províncies
2006
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=200600&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;6417;4170;13377;9687;7026;40677
Alt Empordà;19168;12224;40103;28413;20054;119962
Alt Penedès;15867;9445;33253;21744;14931;95240
Alt Urgell;2663;2001;6723;5046;4211;20644
Alta Ribagorça;518;369;1413;919;762;3981
Anoia;18214;11142;36708;24663;16898;107625
Bages;25870;16540;55590;41079;32465;171544
Baix Camp;28795;17892;57824;39473;25102;169086
Baix Ebre;10941;7998;24288;17692;14881;75800
Baix Empordà;18873;11821;39792;29146;19831;119463
Baix Llobregat;125357;75862;272705;178245;99835;752004
Baix Penedès;13973;8326;29307;20373;11901;83880
Barcelonès;283611;204830;732227;540350;427216;2188234
Berguedà;5014;3813;11444;10201;9331;39803
Cerdanya;2582;1728;6096;4070;2587;17063
Conca de Barberà;2843;1973;6157;4654;4400;20027
Garraf;21583;12163;45616;31427;18067;128856
Garrigues;2395;1832;5524;4833;4955;19539
Garrotxa;7549;4825;16091;12696;11014;52175
Gironès;28457;17719;58355;35840;23105;163476
Maresme;66525;41265;137919;97754;57649;401112
Montsià;9326;6829;20976;14531;12198;63860
Noguera;5205;3613;11564;8692;8340;37414
Osona;23861;14570;47454;33487;24250;143622
Pallars Jussà;1477;1072;3444;3042;3505;12540
Pallars Sobirà;943;610;2351;1697;1439;7040
Pla d'Urgell;5019;3323;11203;7412;6530;33487
Pla de l'Estany;4880;2854;9001;6448;4693;27876
Priorat;1149;812;2815;2375;2490;9641
Ribera d'Ebre;2875;2243;6275;5733;5184;22310
Ripollès;3201;2334;7630;6919;6221;26305
Segarra;3422;2031;7417;4483;3950;21303
Segrià;28640;19027;62859;42460;31625;184611
Selva;23561;14788;50837;34342;21150;144678
Solsonès;2053;1277;4231;3038;2479;13078
Tarragonès;35746;23048;76355;50816;29969;215934
Terra Alta;1455;1208;3368;3193;3395;12619
Urgell;5196;3440;10958;7743;6837;34174
Val d'Aran;1421;1002;3602;2150;1094;9269
Vallès Occidental;142940;85338;291530;189521;111812;821141
Vallès Oriental;63277;37344;131442;84167;47614;363844
Catalunya;1072862;694701;2395824;1670554;1160996;6994937
Metropolità;719160;466247;1644692;1143208;777124;4750431
Comarques Gironines;105689;66565;221809;153804;106068;653935
Camp de Tarragona;88923;56221;185835;127378;80888;539245
Terres de l'Ebre;24597;18278;54907;41149;35658;174589
Ponent;49877;33266;109525;75623;62237;330528
Comarques Centrals;75012;47342;155427;112468;85423;475672
Alt Pirineu i Aran;9604;6782;23629;16924;13598;70537
Barcelona;792185;512276;1795822;1252587;859913;5212783
Girona;107771;68034;226831;157008;108080;667724
Lleida;59386;39892;132429;92432;76456;400595
Tarragona;113520;74499;240742;168527;116547;713835
Població a 1 de gener. Per sexe i grups d'edat. Homes. Comarques, àmbits i províncies
2006
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=200600&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;3288;2169;7115;5027;3120;20719
Alt Empordà;9803;6239;20972;14500;8945;60459
Alt Penedès;8135;4892;17564;11134;6512;48237
Alt Urgell;1411;994;3418;2670;1917;10410
Alta Ribagorça;282;190;784;501;348;2105
Anoia;9391;5614;19490;12523;7265;54283
Bages;13430;8416;29271;20569;13456;85142
Baix Camp;14676;9102;30049;19921;10916;84664
Baix Ebre;5704;4173;13376;8896;6607;38756
Baix Empordà;9731;6064;20976;14785;8781;60337
Baix Llobregat;64598;38771;140433;88104;43449;375355
Baix Penedès;7149;4158;15531;10378;5569;42785
Barcelonès;145689;103508;374931;255010;169837;1048975
Berguedà;2602;1972;5997;5204;3986;19761
Cerdanya;1376;923;3271;2196;1165;8931
Conca de Barberà;1476;1008;3308;2435;1924;10151
Garraf;10925;6127;23205;15782;7760;63799
Garrigues;1259;972;3032;2512;2277;10052
Garrotxa;3877;2476;8559;6582;4714;26208
Gironès;14622;8872;30653;17813;9686;81646
Maresme;34426;21308;70963;48632;24394;199723
Montsià;4763;3506;11238;7406;5556;32469
Noguera;2637;1810;6199;4509;3819;18974
Osona;12409;7418;25189;16956;10206;72178
Pallars Jussà;755;564;1850;1594;1573;6336
Pallars Sobirà;473;323;1243;962;671;3672
Pla d'Urgell;2579;1741;6104;3822;2881;17127
Pla de l'Estany;2489;1459;4663;3271;2065;13947
Priorat;565;452;1557;1294;1138;5006
Ribera d'Ebre;1469;1209;3327;2970;2345;11320
Ripollès;1677;1240;4050;3541;2672;13180
Segarra;1744;1020;4203;2336;1772;11075
Segrià;14685;9709;33472;21268;13391;92525
Selva;12255;7770;27138;17659;9448;74270
Solsonès;1052;666;2298;1575;1144;6735
Tarragonès;18445;11872;39721;25469;12928;108435
Terra Alta;747;676;1812;1691;1589;6515
Urgell;2688;1764;5986;3974;2987;17399
Val d'Aran;747;520;1915;1156;501;4839
Vallès Occidental;73682;43636;149675;93723;46978;407694
Vallès Oriental;32437;19345;68602;42329;20781;183494
Catalunya;552148;354648;1243140;822679;487073;3459688
Metropolità;369892;237587;845373;554714;319711;2327277
Comarques Gironines;54454;34120;117011;78151;46311;330047
Camp de Tarragona;45599;28761;97281;64524;35595;271760
Terres de l'Ebre;12683;9564;29753;20963;16097;89060
Ponent;25592;17016;58996;38421;27127;167152
Comarques Centrals;38884;24086;82245;56827;36057;238099
Alt Pirineu i Aran;5044;3514;12481;9079;6175;36293
Barcelona;407763;260986;925258;609926;354562;2558495
Girona;55576;34903;119739;79865;47200;337283
Lleida;30527;20434;71109;47401;33618;203089
Tarragona;58282;38325;127034;85487;51693;360821
Població a 1 de gener. Per sexe i grups d'edat. Dones. Comarques, àmbits i províncies
2006
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=200600&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;3129;2001;6262;4660;3906;19958
Alt Empordà;9365;5985;19131;13913;11109;59503
Alt Penedès;7732;4553;15689;10610;8419;47003
Alt Urgell;1252;1007;3305;2376;2294;10234
Alta Ribagorça;236;179;629;418;414;1876
Anoia;8823;5528;17218;12140;9633;53342
Bages;12440;8124;26319;20510;19009;86402
Baix Camp;14119;8790;27775;19552;14186;84422
Baix Ebre;5237;3825;10912;8796;8274;37044
Baix Empordà;9142;5757;18816;14361;11050;59126
Baix Llobregat;60759;37091;132272;90141;56386;376649
Baix Penedès;6824;4168;13776;9995;6332;41095
Barcelonès;137922;101322;357296;285340;257379;1139259
Berguedà;2412;1841;5447;4997;5345;20042
Cerdanya;1206;805;2825;1874;1422;8132
Conca de Barberà;1367;965;2849;2219;2476;9876
Garraf;10658;6036;22411;15645;10307;65057
Garrigues;1136;860;2492;2321;2678;9487
Garrotxa;3672;2349;7532;6114;6300;25967
Gironès;13835;8847;27702;18027;13419;81830
Maresme;32099;19957;66956;49122;33255;201389
Montsià;4563;3323;9738;7125;6642;31391
Noguera;2568;1803;5365;4183;4521;18440
Osona;11452;7152;22265;16531;14044;71444
Pallars Jussà;722;508;1594;1448;1932;6204
Pallars Sobirà;470;287;1108;735;768;3368
Pla d'Urgell;2440;1582;5099;3590;3649;16360
Pla de l'Estany;2391;1395;4338;3177;2628;13929
Priorat;584;360;1258;1081;1352;4635
Ribera d'Ebre;1406;1034;2948;2763;2839;10990
Ripollès;1524;1094;3580;3378;3549;13125
Segarra;1678;1011;3214;2147;2178;10228
Segrià;13955;9318;29387;21192;18234;92086
Selva;11306;7018;23699;16683;11702;70408
Solsonès;1001;611;1933;1463;1335;6343
Tarragonès;17301;11176;36634;25347;17041;107499
Terra Alta;708;532;1556;1502;1806;6104
Urgell;2508;1676;4972;3769;3850;16775
Val d'Aran;674;482;1687;994;593;4430
Vallès Occidental;69258;41702;141855;95798;64834;413447
Vallès Oriental;30840;17999;62840;41838;26833;180350
Catalunya;520714;340053;1152684;847875;673923;3535249
Metropolità;349268;228660;799319;588494;457413;2423154
Comarques Gironines;51235;32445;104798;75653;59757;323888
Camp de Tarragona;43324;27460;88554;62854;45293;267485
Terres de l'Ebre;11914;8714;25154;20186;19561;85529
Ponent;24285;16250;50529;37202;35110;163376
Comarques Centrals;36128;23256;73182;55641;49366;237573
Alt Pirineu i Aran;4560;3268;11148;7845;7423;34244
Barcelona;384422;251290;870564;642661;505351;2654288
Girona;52195;33131;107092;77143;60880;330441
Lleida;28859;19458;61320;45031;42838;197506
Tarragona;55238;36174;113708;83040;64854;353014

