Població a 1 de gener. Per sexe i grups d'edat. Total. Comarques, àmbits i províncies
2011
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=201100&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;7606;4197;14202;11277;7641;44923
Alt Empordà;23445;12598;44970;34708;22630;138351
Alt Penedès;19402;8830;35514;25439;16288;105473
Alt Urgell;3059;1920;6735;5797;4154;21665
Alta Ribagorça;558;359;1467;1112;748;4244
Anoia;21869;10508;38926;28440;18555;118298
Bages;30838;15329;58672;46497;33953;185289
Baix Camp;35000;17937;63311;46926;27875;191049
Baix Ebre;12991;7386;25503;20141;15855;81876
Baix Empordà;21909;11978;41984;34001;21956;131828
Baix Llobregat;142843;69541;273138;197483;116466;799471
Baix Penedès;18111;8542;33576;24745;15316;100290
Barcelonès;310375;188151;736885;558566;444669;2238646
Berguedà;5617;3461;11499;11524;9360;41461
Cerdanya;2878;1476;6350;5055;2827;18586
Conca de Barberà;3284;1809;6438;5293;4326;21150
Garraf;25267;11940;48842;37783;20953;144785
Garrigues;2648;1725;5606;5219;4938;20136
Garrotxa;8568;4985;16201;14554;11068;55376
Gironès;34235;17801;62945;42136;24744;181861
Maresme;75542;38123;141068;111579;66589;432901
Montsià;11235;6527;23471;16923;13177;71333
Noguera;6021;3542;12077;9920;8352;39912
Osona;27510;13838;47983;38891;25557;153779
Pallars Jussà;1836;1203;4162;3613;3429;14243
Pallars Sobirà;1056;623;2368;2017;1384;7448
Pla d'Urgell;6207;3368;12061;8691;6656;36983
Pla de l'Estany;5831;2950;9566;7638;5104;31089
Priorat;1326;760;2819;2632;2436;9973
Ribera d'Ebre;3158;2137;6420;6422;5248;23385
Ripollès;3427;2034;7248;7500;6151;26360
Segarra;4036;2167;7726;5299;3953;23181
Segrià;33994;19475;68853;50424;33499;206245
Selva;28900;15781;57904;42532;24723;169840
Solsonès;2347;1211;4164;3475;2591;13788
Tarragonès;43898;23375;86314;60327;34437;248351
Terra Alta;1555;1057;3346;3327;3365;12650
Urgell;6213;3324;11604;9069;6983;37193
Val d'Aran;1553;980;3861;2589;1153;10136
Vallès Occidental;165177;81066;301612;216933;125136;889924
Vallès Oriental;74057;35362;135950;98179;54833;398381
Catalunya;1235382;659376;2483341;1864676;1259078;7501853
Metropolità;812663;433013;1673009;1245962;844934;5009581
Comarques Gironines;126315;68127;240818;183069;116376;734705
Camp de Tarragona;109225;56620;206660;151200;92031;615736
Terres de l'Ebre;28939;17107;58740;46813;37645;189244
Ponent;59119;33601;117927;88622;64381;363650
Comarques Centrals;88181;44347;161244;128827;90016;512615
Alt Pirineu i Aran;10940;6561;24943;20183;13695;76322
Barcelona;898530;476135;1830067;1371246;932254;5508232
Girona;128657;69344;245999;187010;118499;749509
Lleida;70031;40170;141875;108407;78651;439134
Tarragona;138164;73727;265400;198013;129674;804978
Població a 1 de gener. Per sexe i grups d'edat. Homes. Comarques, àmbits i províncies
2011
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=201100&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;3960;2148;7591;5878;3395;22972
Alt Empordà;12087;6422;23608;17794;10272;70183
Alt Penedès;9967;4474;18508;13061;7135;53145
Alt Urgell;1603;975;3438;3040;1883;10939
Alta Ribagorça;298;202;833;601;339;2273
Anoia;11328;5350;20514;14455;8106;59753
Bages;15965;7834;30806;23597;14090;92292
Baix Camp;17939;8922;32731;23534;12278;95404
Baix Ebre;6815;3809;13884;10218;7110;41836
