Densitat de població. Comarques, àmbits i províncies
2006
"Font: Idescat. Padró municipal d'habitants; Institut Cartogràfic de Catalunya."
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15227&t=200600
;Població;Superfície km²;Densitat (habitants/km²)
Alt Camp;41081;538;76,4
Alt Empordà;123983;1358;91,3
Alt Penedès;96779;593;163,3
Alt Urgell;21257;1447;14,7
Alta Ribagorça;4074;427;9,5
Anoia;109198;866;126,1
Bages;173236;1299;133,4
Baix Camp;173539;697;249,0
Baix Ebre;76368;1003;76,2
Baix Empordà;124055;702;176,8
Baix Llobregat;767967;486;1581,2
Baix Penedès;85756;296;289,5
Barcelonès;2226913;145;15387,7
Berguedà;40064;1185;33,8
Cerdanya;17235;547;31,5
Conca de Barberà;20388;650;31,4
Garraf;133117;185;718,5
Garrigues;20032;798;25,1
Garrotxa;52834;735;71,8
Gironès;166079;575;288,6
Maresme;409125;399;1025,6
Montsià;65333;735;88,8
Noguera;38394;1784;21,5
Osona;145790;1260;115,7
Pallars Jussà;12648;1343;9,4
Pallars Sobirà;7067;1378;5,1
Pla d'Urgell;34171;305;112,0
Pla de l'Estany;28557;263;108,7
Priorat;9796;499;19,6
Ribera d'Ebre;23046;827;27,9
Ripollès;26366;956;27,6
Segarra;21781;723;30,1
Segrià;187326;1397;134,1
Selva;151477;995;152,2
Solsonès;13050;1001;13,0
Tarragonès;222444;319;697,6
Terra Alta;12715;743;17,1
Urgell;34638;580;59,7
Val d'Aran;9554;634;15,1
Vallès Occidental;836077;583;1433,7
Vallès Oriental;371387;851;436,4
Catalunya;7134697;32107;222,2
Metropolità;4841365;3242;1493,5
Comarques Gironines;673351;5584;120,6
Camp de Tarragona;553004;2999;184,4
Terres de l'Ebre;177462;3309;53,6
Ponent;336342;5586;60,2
Comarques Centrals;481338;5612;85,8
Alt Pirineu i Aran;71835;5776;12,4
Barcelona;5309404;7726;687,2
Girona;687331;5905;116,4
Lleida;407496;12168;33,5
Tarragona;730466;6308;115,8

