Residus municipals. Generació. Total registrat i generació per càpita
Comarques i Aran. 2017
Unitats: Tones.
Font: Agència de Residus de Catalunya.
Nota: les dades es presenten segons la distribució territorial vigent en aquell moment: 41 comarques i l’entitat territorial singular Aran. (Aquesta distribució territorial està establerta en diverses lleis anteriors d’organització territorial comarcal i en la Llei 4/2015, de creació de la comarca del Moianès, que modifica territorialment el Bages, Osona i el Vallès Oriental).
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=resmc&n=6997&geo=com&t=201700
Codi;Nom;Total kg/hab./dia;Recollida no selectiva;Recollida selectiva;Total
01;Alt Camp;1,36;12496,17;9343,29;21839,46
02;Alt Empordà;2,18;70137,36;41194,73;111332,09
03;Alt Penedès;1,40;31445,20;23035,96;54481,16
04;Alt Urgell;1,33;4895,68;4931,30;9826,98
05;Alta Ribagorça;1,46;1203,18;830,93;2034,11
06;Anoia;1,45;41698,24;20987,40;62685,64
39;Aran;2,68;5272,13;4508,32;9780,45
07;Bages;1,25;44280,65;35482,24;79762,89
08;Baix Camp;1,53;61153,60;43207,53;104361,12
09;Baix Ebre;1,46;24823,46;16755,89;41579,35
10;Baix Empordà;2,28;64131,63;46534,70;110666,33
11;Baix Llobregat;1,25;234985,22;136206,00;371191,22
12;Baix Penedès;1,79;45051,68;20787,66;65839,34
13;Barcelonès;1,23;679725,80;329430,42;1009156,22
14;Berguedà;1,34;12861,81;6200,91;19062,72
15;Cerdanya;1,73;8155,35;3004,60;11159,96
16;Conca de Barberà;1,47;5355,30;5420,42;10775,73
17;Garraf;1,65;56797,00;32028,68;88825,68
18;Garrigues;0,98;4811,69;1957,69;6769,38
19;Garrotxa;1,39;14986,37;13518,67;28505,04
20;Gironès;1,21;44460,49;38605,79;83066,27
21;Maresme;1,55;137832,58;112807,88;250640,46
42;Moianès;1,55;3491,35;4035,20;7526,55
22;Montsià;1,35;16497,99;16822,73;33320,72
23;Noguera;1,15;11745,46;4532,91;16278,37
24;Osona;1,18;26768,03;40893,19;67661,22
25;Pallars Jussà;1,44;4380,38;2619,29;6999,67
26;Pallars Sobirà;1,86;2164,50;2563,61;4728,11
27;Pla d'Urgell;1,14;8504,58;6754,41;15258,99
28;Pla de l'Estany;1,29;9329,18;5590,89;14920,07
29;Priorat;1,25;2117,57;2146,93;4264,50
30;Ribera d'Ebre;1,25;5099,30;5013,18;10112,48
31;Ripollès;1,50;7910,51;5813,86;13724,37
32;Segarra;1,09;4223,75;4833,53;9057,28
33;Segrià;1,17;63533,81;25431,36;88965,17
34;Selva;1,85;73866,38;39540,42;113406,80
35;Solsonès;1,42;4382,95;2518,51;6901,46
36;Tarragonès;1,68;100821,97;52769,53;153591,50
37;Terra Alta;1,00;1940,22;2313,92;4254,14
38;Urgell;1,29;10278,47;6621,19;16899,66
40;Vallès Occidental;1,13;232913,33;142545,62;375458,95
41;Vallès Oriental;1,26;114813,99;71020,63;185834,62
;Catalunya;1,39;2311344,29;1535780,14;3847124,44

