Residus municipals. Generació. Total registrat i generació per càpita
Comarques i Aran. 2014
Unitats: Tones.
Font: Agència de Residus de Catalunya.
Nota: les dades es presenten segons la distribució territorial vigent en aquell moment: 40 comarques i l’entitat territorial singular Aran. (Aquesta distribució territorial està establerta en diverses lleis anteriors d’organització territorial comarcal i en la Llei 3/1990, de modificació de la divisió comarcal de Catalunya, a partir de la qual diversos municipis canvien de comarca). Durant aquest període, Aran canvia el seu règim jurídic i passa de ser una comarca a ser una entitat territorial singular, d’acord amb la Llei 1/2015, del règim especial d’Aran.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=resmc&n=6997&geo=com&t=201400
Codi;Nom;Total kg/hab./dia;Recollida no selectiva;Recollida selectiva;Total
01;Alt Camp;1,24;11189,40;8950,32;20139,72
02;Alt Empordà;2,20;69686,00;42811,80;112497,80
03;Alt Penedès;1,30;29962,68;20554,30;50516,98
04;Alt Urgell;1,24;5146,17;4296,04;9442,21
05;Alta Ribagorça;1,37;1296,59;642,15;1938,74
06;Anoia;1,47;48790,05;14490,95;63281,00
39;Aran;2,13;5161,58;2624,76;7786,34
07;Bages;1,19;47608,84;32770,18;80379,02
08;Baix Camp;1,42;58393,16;40126,34;98519,50
09;Baix Ebre;1,40;23795,38;17456,41;41251,79
10;Baix Empordà;2,15;66369,11;37754,92;104124,04
11;Baix Llobregat;1,20;225063,15;128646,04;353709,19
12;Baix Penedès;1,70;46425,97;15672,57;62098,54
13;Barcelonès;1,19;648366,43;315421,96;963788,39
14;Berguedà;1,27;13732,76;4899,51;18632,27
15;Cerdanya;1,82;9579,14;2394,25;11973,39
16;Conca de Barberà;1,40;5293,38;5321,73;10615,11
17;Garraf;1,58;53579,00;30629,62;84208,62
18;Garrigues;0,99;5520,40;1591,71;7112,11
19;Garrotxa;1,35;16430,98;11181,73;27612,71
20;Gironès;1,09;40903,47;32938,63;73842,10
21;Maresme;1,46;134615,93;99411,51;234027,44
22;Montsià;1,27;15943,83;16216,46;32160,29
23;Noguera;1,12;11783,57;4291,99;16075,56
24;Osona;1,13;25899,96;38019,53;63919,49
25;Pallars Jussà;1,26;4039,28;2159,95;6199,23
26;Pallars Sobirà;1,52;2811,81;1205,17;4016,98
27;Pla d'Urgell;1,08;8005,57;6579,18;14584,75
28;Pla de l'Estany;1,28;9259,13;5474,95;14734,08
29;Priorat;1,18;2076,92;2021,12;4098,04
30;Ribera d'Ebre;1,20;5395,33;4653,08;10048,41
31;Ripollès;1,49;8059,15;5929,91;13989,06
32;Segarra;1,03;4098,16;4448,81;8546,97
33;Segrià;1,09;63502,94;20264,08;83767,02
34;Selva;1,70;72620,55;32865,53;105486,08
35;Solsonès;1,26;3985,48;2234,22;6219,70
36;Tarragonès;1,60;96892,62;49266,36;146158,99
37;Terra Alta;0,85;1796,75;1979,67;3776,42
38;Urgell;1,17;10018,83;5536,41;15555,24
40;Vallès Occidental;1,07;223980,91;128607,89;352588,80
41;Vallès Oriental;1,24;113768,48;69389,40;183157,88
;Catalunya;1,33;2250848,85;1400000,12;3650848,97

