Residus municipals. Generació. Total registrat i generació per càpita
Comarques i Aran. 2005
Unitats: Tones.
Font: Agència de Residus de Catalunya.
Nota: les dades es presenten segons la distribució territorial vigent en aquell moment: 40 comarques i l’entitat territorial singular Aran. (Aquesta distribució territorial està establerta en diverses lleis anteriors d’organització territorial comarcal i en la Llei 3/1990, de modificació de la divisió comarcal de Catalunya, a partir de la qual diversos municipis canvien de comarca). Durant aquest període, Aran canvia el seu règim jurídic i passa de ser una comarca a ser una entitat territorial singular, d’acord amb la Llei 1/2015, del règim especial d’Aran.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=resmc&n=6997&geo=com&t=200500
Codi;Nom;Total kg/hab./dia;Recollida no selectiva;Recollida selectiva;Total
01;Alt Camp;1,45;15817,66;5299,12;21116,76
02;Alt Empordà;2,60;93891,72;18829,93;112721,55
03;Alt Penedès;1,63;39924,04;15710,26;55634,22
04;Alt Urgell;1,25;5063,73;4460,20;9523,93
05;Alta Ribagorça;1,48;1842,51;321,38;2163,89
06;Anoia;1,62;53465,47;8994,67;62460,15
39;Aran;3,00;7345,00;2757,28;10102,30
07;Bages;1,47;62690,59;27833,40;90523,95
08;Baix Camp;1,91;76350,81;40868,28;117219,06
09;Baix Ebre;1,46;34040,74;5788,89;39829,62
10;Baix Empordà;2,63;94947,07;20706,56;115653,49
11;Baix Llobregat;1,42;288275,02;105345,57;393620,59
12;Baix Penedès;2,30;58815,20;8300,53;67115,72
13;Barcelonès;1,43;847609,88;307973,63;1155583,60
14;Berguedà;1,40;15761,60;4530,84;20292,49
15;Cerdanya;2,10;10917,85;2004,74;12922,60
16;Conca de Barberà;1,24;6300,22;2772,61;9072,80
17;Garraf;1,90;61194,00;27620,30;88814,28
18;Garrigues;1,07;6999,68;823,55;7823,23
19;Garrotxa;1,56;23248,80;6233,77;29482,70
20;Gironès;1,42;57763,78;25497,35;83261,13
21;Maresme;1,70;181717,16;65632,66;247349,81
22;Montsià;1,40;26389,54;6376,49;32766,03
23;Noguera;1,38;17298,66;1615,11;18913,76
24;Osona;1,34;41592,43;27814,26;69406,59
25;Pallars Jussà;1,39;4841,10;1542,35;6383,52
26;Pallars Sobirà;1,90;3110,00;1673,56;4783,59
27;Pla d'Urgell;1,21;12747,02;1921,94;14668,93
28;Pla de l'Estany;1,61;13179,32;3205,82;16385,16
29;Priorat;1,20;3018,60;1197,33;4215,88
30;Ribera d'Ebre;1,46;6870,30;5374,99;12245,31
31;Ripollès;1,57;12110,22;3055,45;15165,61
32;Segarra;1,51;7337,10;4249,04;11586,19
33;Segrià;1,31;76897,34;11360,55;88257,82
34;Selva;2,18;97345,42;17566,79;114912,19
35;Solsonès;1,32;4869,85;1269,12;6138,96
36;Tarragonès;2,00;126953,54;28015,84;154969,36
37;Terra Alta;1,03;3692,11;1097,53;4789,64
38;Urgell;1,29;12430,65;3643,48;16073,97
40;Vallès Occidental;1,43;317206,26;108954,16;426160,41
41;Vallès Oriental;1,48;143873,24;51444,14;195317,38
;Catalunya;1,64;2975745,14;1220402,58;4196147,72

