Població a 1 de gener. Per sexe i grups d'edat. Total. Comarques, àmbits i províncies
2008
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=200800&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;7193;4288;14524;10576;7224;43805
Alt Empordà;21456;13141;44895;31953;21357;132802
Alt Penedès;17622;9252;35729;23607;15409;101619
Alt Urgell;2867;1996;6938;5471;4146;21418
Alta Ribagorça;548;414;1474;1037;748;4221
Anoia;19999;10866;39400;26475;17350;114090
Bages;28278;16304;59362;43795;32622;180361
Baix Camp;32194;19030;63794;43327;26099;184444
Baix Ebre;12010;8266;26948;19245;15148;81617
Baix Empordà;20517;12418;42847;31724;20621;128127
Baix Llobregat;132492;72973;277112;186436;104266;773279
Baix Penedès;16353;8784;33441;22919;13033;94530
Barcelonès;294203;198593;749842;550470;428761;2221869
Berguedà;5422;3741;12010;10938;9219;41330
Cerdanya;2866;1730;6533;4496;2703;18328
Conca de Barberà;3058;1965;6513;4987;4377;20900
Garraf;23625;12400;49019;34298;19077;138419
Garrigues;2547;1865;5729;5045;4923;20109
Garrotxa;8060;4940;16588;13590;10937;54115
Gironès;30790;18239;62779;38608;23458;173874
Maresme;70381;39977;142029;104236;60294;416917
Montsià;10579;7334;23506;15793;12595;69807
Noguera;5512;3685;12060;9251;8363;38871
Osona;25422;14357;49089;36024;24518;149410
Pallars Jussà;1664;1134;3760;3362;3484;13404
Pallars Sobirà;1011;629;2472;1880;1383;7375
Pla d'Urgell;5625;3344;12031;8075;6511;35586
Pla de l'Estany;5253;2884;9446;6911;4850;29344
Priorat;1218;779;2799;2523;2452;9771
Ribera d'Ebre;3095;2230;6586;6161;5222;23294
Ripollès;3310;2284;7727;7280;6171;26772
Segarra;3717;2069;7707;4847;3909;22249
Segrià;31083;19731;67833;45942;32104;196693
Selva;26489;15955;57066;38435;22467;160412
Solsonès;2231;1326;4469;3264;2559;13849
Tarragonès;39790;24354;85546;55833;31496;237019
Terra Alta;1500;1186;3397;3281;3386;12750
Urgell;5694;3495;11603;8383;6864;36039
Val d'Aran;1490;1075;3953;2390;1095;10003
Vallès Occidental;153023;83847;303031;201494;114950;856345
Vallès Oriental;68527;36661;137838;90213;49907;383146
Catalunya;1148714;689541;2509425;1764575;1186058;7298313
Metropolità;759873;453703;1694600;1190754;792664;4891594
Comarques Gironines;115875;69861;241348;168501;109861;705446
Camp de Tarragona;99806;59200;206617;140165;84681;590469
Terres de l'Ebre;27184;19016;60437;44480;36351;187468
Ponent;54178;34189;116963;81543;62674;349547
Comarques Centrals;81352;46594;164330;120496;86268;499040
Alt Pirineu i Aran;10446;6978;25130;18636;13559;74749
Barcelona;839054;498940;1854422;1307936;876238;5376590
Girona;118187;71340;246712;172028;111937;720204
Lleida;64483;41045;141237;99966;76846;423577
Tarragona;126990;78216;267054;184645;121037;777942
Població a 1 de gener. Per sexe i grups d'edat. Homes. Comarques, àmbits i províncies
2008
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=200800&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;3671;2247;7793;5482;3206;22399
Alt Empordà;11027;6690;23824;16373;9656;67570
Alt Penedès;9084;4750;18840;12047;6756;51477
Alt Urgell;1520;1008;3559;2877;1894;10858
Alta Ribagorça;290;221;841;564;344;2260
Anoia;10277;5545;21106;13434;7498;57860
Bages;14611;8256;31517;22046;13491;89921
