Població a 1 de gener. Per sexe i grups d'edat. Total. Comarques, àmbits i províncies
2008
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=200800&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Baix Camp;16296;9688;33572;21813;11359;92728
Baix Ebre;6273;4339;15210;9774;6723;42319
Baix Empordà;10561;6418;22636;16093;9148;64856
Baix Llobregat;68176;37443;142814;91928;45490;385851
Baix Penedès;8372;4400;17753;11656;6142;48323
Barcelonès;151248;100395;384504;259559;170759;1066465
Berguedà;2833;1956;6442;5631;3917;20779
Cerdanya;1520;897;3525;2456;1212;9610
Conca de Barberà;1614;1010;3551;2595;1941;10711
Garraf;12079;6267;25154;17260;8287;69047
Garrigues;1336;996;3200;2628;2253;10413
Garrotxa;4167;2594;8833;7055;4656;27305
Gironès;15765;9285;33230;19191;9810;87281
Maresme;36438;20714;73253;51685;25648;207738
Montsià;5427;3773;12693;8104;5737;35734
Noguera;2829;1871;6568;4823;3817;19908
Osona;13186;7269;25988;18317;10285;75045
Pallars Jussà;837;585;2023;1802;1559;6806
Pallars Sobirà;505;320;1318;1059;650;3852
Pla d'Urgell;2894;1760;6533;4196;2886;18269
Pla de l'Estany;2694;1514;4879;3531;2105;14723
Priorat;619;408;1556;1357;1123;5063
Ribera d'Ebre;1556;1210;3546;3162;2386;11860
Ripollès;1763;1205;4122;3710;2646;13446
Segarra;1931;1050;4321;2547;1752;11601
Segrià;15941;10131;36297;23214;13571;99154
Selva;13742;8325;30674;19870;10050;82661
Solsonès;1142;695;2419;1724;1172;7152
Tarragonès;20567;12430;45202;28106;13645;119950
Terra Alta;784;661;1830;1714;1600;6589
Urgell;2974;1782;6332;4325;2974;18387
Val d'Aran;780;554;2148;1296;497;5275
Vallès Occidental;78718;42955;155993;99615;48248;425529
Vallès Oriental;35241;18985;72155;45410;21799;193590
Catalunya;591288;352602;1307754;870029;498692;3620365
Metropolità;390984;231509;872713;577504;326987;2399697
Comarques Gironines;59719;36031;128198;85823;48071;357842
Camp de Tarragona;51139;30183;109427;71009;37416;299174
Terres de l'Ebre;14040;9983;33279;22754;16446;96502
Ponent;27905;17590;63251;41733;27253;177732
Comarques Centrals;42049;23721;87472;61152;36363;250757
Alt Pirineu i Aran;5452;3585;13414;10054;6156;38661
Barcelona;431920;254523;957716;636900;362124;2643183
Girona;60954;36786;131133;87733;48972;365578
Lleida;33235;21127;76199;51633;33735;215929
Tarragona;65179;40166;142706;93763;53861;395675
Població a 1 de gener. Per sexe i grups d'edat. Dones. Comarques, àmbits i províncies
2008
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=200800&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;3522;2041;6731;5094;4018;21406
Alt Empordà;10429;6451;21071;15580;11701;65232
Alt Penedès;8538;4502;16889;11560;8653;50142
Alt Urgell;1347;988;3379;2594;2252;10560
Alta Ribagorça;258;193;633;473;404;1961
Anoia;9722;5321;18294;13041;9852;56230
Bages;13667;8048;27845;21749;19131;90440
Baix Camp;15898;9342;30222;21514;14740;91716
Baix Ebre;5737;3927;11738;9471;8425;39298
Baix Empordà;9956;6000;20211;15631;11473;63271
Baix Llobregat;64316;35530;134298;94508;58776;387428
Baix Penedès;7981;4384;15688;11263;6891;46207
Barcelonès;142955;98198;365338;290911;258002;1155404
Berguedà;2589;1785;5568;5307;5302;20551
Cerdanya;1346;833;3008;2040;1491;8718
Conca de Barberà;1444;955;2962;2392;2436;10189
Garraf;11546;6133;23865;17038;10790;69372
Garrigues;1211;869;2529;2417;2670;9696
Garrotxa;3893;2346;7755;6535;6281;26810
Gironès;15025;8954;29549;19417;13648;86593
Maresme;33943;19263;68776;52551;34646;209179
Montsià;5152;3561;10813;7689;6858;34073
Noguera;2683;1814;5492;4428;4546;18963
Osona;12236;7088;23101;17707;14233;74365
Pallars Jussà;827;549;1737;1560;1925;6598
Pallars Sobirà;506;309;1154;821;733;3523
Pla d'Urgell;2731;1584;5498;3879;3625;17317
Pla de l'Estany;2559;1370;4567;3380;2745;14621
Priorat;599;371;1243;1166;1329;4708
Ribera d'Ebre;1539;1020;3040;2999;2836;11434
Ripollès;1547;1079;3605;3570;3525;13326
Segarra;1786;1019;3386;2300;2157;10648
Segrià;15142;9600;31536;22728;18533;97539
Selva;12747;7630;26392;18565;12417;77751
Solsonès;1089;631;2050;1540;1387;6697
Tarragonès;19223;11924;40344;27727;17851;117069
Terra Alta;716;525;1567;1567;1786;6161
Urgell;2720;1713;5271;4058;3890;17652
Val d'Aran;710;521;1805;1094;598;4728
Vallès Occidental;74305;40892;147038;101879;66702;430816
Vallès Oriental;33286;17676;65683;44803;28108;189556
Catalunya;557426;336939;1201671;894546;687366;3677948
Metropolità;368889;222194;821887;613250;465677;2491897
Comarques Gironines;56156;33830;113150;82678;61790;347604
Camp de Tarragona;48667;29017;97190;69156;47265;291295
Terres de l'Ebre;13144;9033;27158;21726;19905;90966
Ponent;26273;16599;53712;39810;35421;171815
Comarques Centrals;39303;22873;76858;59344;49905;248283
Alt Pirineu i Aran;4994;3393;11716;8582;7403;36088
Barcelona;407134;244417;896706;671036;514114;2733407
Girona;57233;34554;115579;84295;62965;354626
Lleida;31248;19918;65038;48333;43111;207648
Tarragona;61811;38050;124348;90882;67176;382267

