Població a 1 de gener. Per sexe i grups d'edat. Total. Comarques, àmbits i províncies
2010
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=201000&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Comarques Centrals;44880;22988;86486;64411;37408;256173
Alt Pirineu i Aran;5599;3401;13212;10546;6178;38936
Barcelona;455101;247669;953114;660075;378556;2694515
Girona;65191;36216;131380;93202;51101;377090
Lleida;35366;20939;77157;54779;34180;222421
Tarragona;69804;38409;142183;98681;56506;405583
Població a 1 de gener. Per sexe i grups d'edat. Dones. Comarques, àmbits i províncies
2010
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=201000&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;3640;2121;6716;5305;4160;21942
Alt Empordà;11165;6390;21497;16617;12224;67893
Alt Penedès;9138;4460;17068;12168;8958;51792
Alt Urgell;1415;970;3334;2706;2245;10670
Alta Ribagorça;265;173;633;495;401;1967
Anoia;10422;5216;18658;13731;10198;58225
Bages;14543;7721;28125;22580;19554;92523
Baix Camp;16735;9106;30588;22871;15253;94553
Baix Ebre;6059;3644;11657;9776;8616;39752
Baix Empordà;10491;6000;20255;16462;11929;65137
Baix Llobregat;67685;34865;134198;97977;63231;397956
Baix Penedès;8620;4355;16056;11862;7661;48554
Barcelonès;148248;94008;364751;293249;262313;1162569
Berguedà;2685;1709;5491;5483;5364;20732
Cerdanya;1328;744;2974;2191;1523;8760
Conca de Barberà;1573;909;2992;2466;2422;10362
Garraf;12066;6003;24122;18042;11386;71619
Garrigues;1214;841;2491;2469;2650;9665
Garrotxa;4074;2357;7870;6830;6316;27447
Gironès;16147;8817;30361;20523;14065;89913
Maresme;35684;18777;69064;55120;36790;215435
Montsià;5438;3421;10979;8100;7069;35007
Noguera;2874;1791;5465;4588;4557;19275
Osona;12953;6881;23221;18625;14561;76241
Pallars Jussà;907;545;1804;1666;1900;6822
Pallars Sobirà;548;314;1113;873;719;3567
Pla d'Urgell;2919;1685;5607;4066;3694;17971
Pla de l'Estany;2728;1392;4674;3603;2819;15216
Priorat;611;383;1251;1223;1305;4773
Ribera d'Ebre;1603;1019;3020;3074;2881;11597
Ripollès;1561;1010;3455;3641;3544;13211
Segarra;1832;1085;3417;2399;2189;10922
Segrià;16217;9704;31996;24158;18975;101050
Selva;13631;7707;27215;19988;13071;81612
Solsonès;1130;589;1972;1587;1400;6678
Tarragonès;20692;11676;41394;29311;18896;121969
Terra Alta;731;486;1543;1562;1798;6120
Urgell;2925;1678;5352;4270;3914;18139
Val d'Aran;735;475;1811;1185;610;4816
Vallès Occidental;78497;40343;148101;107316;70035;444292
Vallès Oriental;35044;17617;65892;47408;29730;195691
Catalunya;586773;328987;1208183;927566;710926;3762435
Metropolità;386362;216073;823196;631280;482443;2539354
Comarques Gironines;59797;33673;115327;87664;63968;360429
Camp de Tarragona;51871;28550;98997;73038;49697;302153
Terres de l'Ebre;13831;8570;27199;22512;20364;92476
Ponent;27981;16784;54328;41950;35979;177022
Comarques Centrals;41733;22116;77467;62006;51077;254399
Alt Pirineu i Aran;5198;3221;11669;9116;7398;36602
Barcelona;426982;237595;898698;691672;532049;2786996
Girona;60875;34288;117696;89397;65139;367395
Lleida;33214;19984;65593;50947;43677;213415
Tarragona;65702;37120;126196;95550;70061;394629

