Població a 1 de gener. Per sexe i grups d'edat. Total. Comarques, àmbits i províncies
2010
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=201000&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;7532;4347;14499;11081;7497;44956
Alt Empordà;23064;12943;45528;34129;22377;138041
Alt Penedès;18766;9004;35769;24856;15933;104328
Alt Urgell;3011;1963;6837;5703;4117;21631
Alta Ribagorça;549;386;1455;1106;741;4237
Anoia;21545;10639;39667;27894;18032;117777
Bages;30100;15730;59529;45708;33431;184498
Baix Camp;34177;18317;63777;45911;27166;189348
Baix Ebre;12700;7611;25733;19758;15620;81422
Baix Empordà;21668;12291;42799;33351;21519;131628
Baix Llobregat;139824;71031;276258;193943;112148;793204
Baix Penedès;17647;8665;33787;24207;14536;98842
Barcelonès;305558;191645;746873;556226;438031;2238333
Berguedà;5628;3530;11768;11366;9328;41620
Cerdanya;2817;1540;6355;4804;2774;18290
Conca de Barberà;3274;1864;6540;5188;4336;21202
Garraf;24795;12154;49255;36555;20268;143027
Garrigues;2601;1803;5688;5202;4903;20197
Garrotxa;8459;4978;16512;14268;10982;55199
Gironès;33312;17912;63474;40942;24243;179883
Maresme;74110;38944;142426;109326;64325;429131
Montsià;11149;6884;23709;16649;12954;71345
Noguera;5910;3650;12154;9670;8337;39721
Osona;27022;13978;48730;38060;25127;152917
Pallars Jussà;1802;1127;3875;3535;3441;13780
Pallars Sobirà;1087;608;2464;2007;1371;7537
Pla d'Urgell;6042;3496;12373;8488;6609;37008
Pla de l'Estany;5614;2923;9616;7367;4997;30517
Priorat;1311;773;2873;2605;2427;9989
Ribera d'Ebre;3198;2179;6582;6406;5247;23612
Ripollès;3363;2116;7412;7462;6171;26524
Segarra;3904;2189;7725;5139;3954;22911
Segrià;33243;19783;69085;48996;32959;204066
Selva;28307;16066;58579;41328;23856;168136
Solsonès;2318;1227;4259;3389;2567;13760
Tarragonès;42972;23780;87486;59113;33405;246756
Terra Alta;1546;1109;3393;3313;3380;12741
Urgell;6087;3413;11720;8866;6939;37025
Val d'Aran;1531;998;3895;2507;1132;10063
Vallès Occidental;162084;82606;304204;212288;121142;882324
Vallès Oriental;72608;36018;137354;95591;52947;394518
Catalunya;1212235;672220;2512017;1834303;1231269;7462044
Metropolità;797745;441402;1692139;1228785;824794;4984865
Comarques Gironines;123787;69229;243920;178847;114145;729928
Camp de Tarragona;106913;57746;208962;148105;89367;611093
Terres de l'Ebre;28593;17783;59417;46126;37201;189120
Ponent;57787;34334;118745;86361;63701;360928
Comarques Centrals;86613;45104;163953;126417;88485;510572
Alt Pirineu i Aran;10797;6622;24881;19662;13576;75538
Barcelona;882083;485264;1851812;1351747;910605;5481511
Girona;126066;70504;249076;182599;116240;744485
Lleida;68580;40923;142750;105726;77857;435836
Tarragona;135506;75529;268379;194231;126567;800212
Població a 1 de gener. Per sexe i grups d'edat. Homes. Comarques, àmbits i províncies
2010
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=201000&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;3892;2226;7783;5776;3337;23014
Alt Empordà;11899;6553;24031;17512;10153;70148
Alt Penedès;9628;4544;18701;12688;6975;52536
Alt Urgell;1596;993;3503;2997;1872;10961
Alta Ribagorça;284;213;822;611;340;2270
Anoia;11123;5423;21009;14163;7834;59552
Bages;15557;8009;31404;23128;13877;91975
Baix Camp;17442;9211;33189;23040;11913;94795
Baix Ebre;6641;3967;14076;9982;7004;41670
Baix Empordà;11177;6291;22544;16889;9590;66491
Baix Llobregat;72139;36166;142060;95966;48917;395248
Baix Penedès;9027;4310;17731;12345;6875;50288
Barcelonès;157310;97637;382122;262977;175718;1075764
Berguedà;2943;1821;6277;5883;3964;20888
Cerdanya;1489;796;3381;2613;1251;9530
Conca de Barberà;1701;955;3548;2722;1914;10840
Garraf;12729;6151;25133;18513;8882;71408
Garrigues;1387;962;3197;2733;2253;10532
Garrotxa;4385;2621;8642;7438;4666;27752
Gironès;17165;9095;33113;20419;10178;89970
Maresme;38426;20167;73362;54206;27535;213696
Montsià;5711;3463;12730;8549;5885;36338
Noguera;3036;1859;6689;5082;3780;20446
Osona;14069;7097;25509;19435;10566;76676
Pallars Jussà;895;582;2071;1869;1541;6958
Pallars Sobirà;539;294;1351;1134;652;3970
Pla d'Urgell;3123;1811;6766;4422;2915;19037
Pla de l'Estany;2886;1531;4942;3764;2178;15301
Priorat;700;390;1622;1382;1122;5216
Ribera d'Ebre;1595;1160;3562;3332;2366;12015
Ripollès;1802;1106;3957;3821;2627;13313
Segarra;2072;1104;4308;2740;1765;11989
Segrià;17026;10079;37089;24838;13984;103016
Selva;14676;8359;31364;21340;10785;86524
Solsonès;1188;638;2287;1802;1167;7082
Tarragonès;22280;12104;46092;29802;14509;124787
Terra Alta;815;623;1850;1751;1582;6621
Urgell;3162;1735;6368;4596;3025;18886
Val d'Aran;796;523;2084;1322;522;5247
Vallès Occidental;83587;42263;156103;104972;51107;438032
Vallès Oriental;37564;18401;71462;48183;23217;198827
Catalunya;625462;343233;1303834;906737;520343;3699609
Metropolità;411383;225329;868943;597505;342351;2445511
Comarques Gironines;63990;35556;128593;91183;50177;369499
Camp de Tarragona;55042;29196;109965;75067;39670;308940
Terres de l'Ebre;14762;9213;32218;23614;16837;96644
Ponent;29806;17550;64417;44411;27722;183906
